peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
111	6005	495.92874	586990	0.0081	5.91	-1
112	6005	496.26357	548665	0.0088	5.53	-1
113	6005	496.59448	221942	0.0099	2.24	-1
114	6005	497.9044	239555	0.0083	2.41	-1
115	6005	499.28408	531894	0.0083	5.36	-1
116	6005	501.28138	1001913	0.0081	10.1	-1
117	6005	501.78329	553999	0.0085	5.58	-1
118	6005	502.27338	857990	0.0084	8.65	-1
119	6005	502.77071	1172868	0.0087	11.82	-1
120	6005	503.25788	242858	0.0083	2.45	-1
121	6005	503.27313	466027	0.0078	4.7	-1
122	6005	503.30492	1310105	0.0083	13.2	-1
123	6005	503.80655	1029636	0.0082	10.38	-1
124	6005	504.24227	222259	0.008	2.24	-1
125	6005	505.79968	217014	0.0079	2.19	-1
126	6005	506.26233	201499	0.0061	2.03	-1
127	6005	508.77997	634068	0.0087	6.39	-1
128	6005	510.52135	265929	0.0088	2.68	-1
129	6005	511.24551	255606	0.0151	2.58	-1
130	6005	512.34115	213793	0.0088	2.15	-1
131	6005	514.77138	545235	0.0092	5.49	-1
132	6005	515.27155	203956	0.0102	2.06	-1
133	6005	515.81472	529391	0.0088	5.33	-1
134	6005	515.94492	415311	0.0086	4.18	-1
135	6005	516.28071	462223	0.0093	4.66	-1
136	6005	516.31737	291768	0.0085	2.94	-1
137	6005	516.33527	238703	0.0081	2.41	-1
138	6005	518.25631	230153	0.0095	2.32	-1
139	6005	518.29732	326918	0.0074	3.29	-1
140	6005	520.51803	319455	0.0086	3.22	-1
141	6005	520.95318	430581	0.01	4.34	-1
142	6005	521.26899	1358843	0.009	13.69	-1
143	6005	521.28658	636894	0.0087	6.42	-1
144	6005	521.5366	283955	0.0092	2.86	-1
145	6005	521.78783	393241	0.0098	3.96	-1
146	6005	521.80764	228337	0.0099	2.3	-1
147	6005	522.27115	300483	0.0102	3.03	-1
148	6005	524.04212	310514	0.0085	3.13	-1
149	6005	524.27467	525468	0.0099	5.3	-1
150	6005	524.29371	223847	0.0105	2.26	-1
151	6005	524.60915	286593	0.0088	2.89	-1
152	6005	525.77055	993418	0.009	10.01	-1
153	6005	526.27289	423755	0.0089	4.27	-1
154	6005	526.35712	295262	0.0088	2.98	-1
155	6005	528.28799	217586	0.0097	2.19	-1
156	6005	529.59151	300545	0.0099	3.03	-1
157	6005	530.28456	6138894	0.0093	61.86	-1
158	6005	530.78596	2288195	0.0091	23.06	-1
159	6005	531.28866	421699	0.0104	4.25	-1
160	6005	534.26051	262544	0.0097	2.65	-1
161	6005	534.51173	364920	0.0089	3.68	-1
162	6005	534.52501	346261	0.0087	3.49	-1
163	6005	534.77514	631306	0.0099	6.36	-1
164	6005	535.26277	606212	0.0119	6.11	-1
165	6005	535.28186	228794	0.0151	2.31	-1
166	6005	535.60538	212394	0.0103	2.14	-1
167	6005	535.7637	295309	0.0083	2.98	-1
168	6005	536.28439	207215	0.0096	2.09	-1
169	6005	538.80582	259842	0.0097	2.62	-1
170	6005	539.31017	274498	0.0122	2.77	-1
171	6005	539.79488	522048	0.0099	5.26	-1
172	6005	540.24241	353746	0.0094	3.56	-1
173	6005	540.29652	236239	0.0103	2.38	-1
174	6005	540.96694	903853	0.0096	9.11	-1
175	6005	541.30108	560877	0.009	5.65	-1
176	6005	542.26263	215155	0.008	2.17	-1
177	6005	542.2736	828275	0.0098	8.35	-1
178	6005	542.35184	214531	0.0091	2.16	-1
179	6005	542.7758	398877	0.0104	4.02	-1
180	6005	543.79763	1068679	0.0092	10.77	-1
181	6005	544.29861	514885	0.0101	5.19	-1
182	6005	544.33143	453908	0.0106	4.57	-1
183	6005	544.79976	215269	0.009	2.17	-1
184	6005	545.2689	212171	0.0089	2.14	-1
185	6005	545.51882	257482	0.0096	2.59	-1
186	6005	545.77136	216293	0.011	2.18	-1
187	6005	546.76865	351991	0.0107	3.55	-1
188	6005	546.83892	481774	0.0096	4.85	-1
189	6005	549.31049	216499	0.0102	2.18	-1
