mz	intensity
1032.05602511895	12212.2060546875
1032.06644835266	23576.423828125
1032.0768717969	20483.75390625
1032.08729545169	13014.962890625
1032.09771931703	45405.6328125
1032.10814339293	10895.3701171875
1032.1185676794	12127.052734375
1032.12899217644	12496.560546875
1032.13941688406	11175.59375
1032.14984180227	37108.7421875
1032.16026693107	26407.541015625
1032.17069227046	16419.755859375
1032.18111782046	6515.72021484375
1032.19154358107	36561.59375
1032.2019695523	25003.9140625
1032.21239573415	23255.423828125
1032.22282212664	22280.900390625
1032.23324872976	16624.388671875
1032.24367554352	26904.3671875
1032.25410256793	23569.89453125
1032.26452980299	7509.95361328125
1032.27495724872	16835.880859375
1032.28538490512	26106.96875
1032.29581277219	22990.123046875
1032.30624084994	19301.611328125
1032.31666913838	10223.2568359375
1032.32709763751	34070.3984375
1032.33752634735	23328.416015625
1032.34795526789	25737.603515625
1032.35838439914	59820.015625
1032.36881374111	14245.7421875
1032.37924329381	11899.4453125
1032.38967305724	18165.591796875
1032.40010303141	16329.4072265625
1032.41053321633	11797.3134765625
1032.42096361199	7576.71044921875
1032.43139421841	13526.22265625
1032.4418250356	22979.263671875
1032.45225606356	26358.021484375
1032.46268730229	15281.98828125
1032.47311875181	15835.6015625
1032.48355041212	13500.7548828125
1032.49398228322	44858.21875
1032.50441436513	46335.37890625
1032.51484665785	46112.12109375
1032.52527916138	35469.203125
1032.53571187573	36144.96484375
1032.54614480091	33922.6640625
1032.55657793692	33588.44140625
1032.56701128378	31844.76171875
1032.57744484148	10819.8984375
1032.58787861004	48690.40234375
1032.59831258945	19890.009765625
1032.60874677974	29565.173828125
1032.61918118089	47468.28125
1032.62961579293	36065.17578125
1032.64005061584	9722.3603515625
1032.65048564966	28890.1328125
1032.66092089437	23102.833984375
1032.67135634998	12118.7578125
1032.68179201651	34995.1875
1032.69222789395	29223.62890625
1032.70266398232	17063.63671875
1032.71310028162	9704.3193359375
1032.72353679185	23906.71875
1032.73397351303	20046.732421875
1032.74441044515	11886.29296875
1032.75484758824	16853.810546875
1032.76528494228	29760.73828125
1032.7757225073	23887.814453125
1032.78616028329	14598.265625
1032.79659827026	24861.837890625
1032.80703646821	56545.27734375
1032.81747487717	21093.26171875
1032.82791349712	38072.6171875
1032.83835232808	20408.5234375
1032.84879137005	8131.779296875
1032.85923062305	17166.619140625
1032.86967008707	8869.94921875
1032.88010976212	26863.56640625
1032.89054964821	38913.875
1032.90098974535	21952.54296875
1032.91143005354	16048.8798828125
1032.92187057278	14300.6962890625
1032.93231130309	4263.7490234375
1032.94275224448	41682.79296875
1032.95319339694	55448.1640625
1032.96363476048	45815.44921875
1032.97407633512	20576.455078125
1032.98451812085	26569.580078125
1032.99496011768	10579.9609375
1033.00540232562	37749.04296875
1033.01584474468	16267.0986328125
1033.02628737486	37462.53125
1033.03673021617	12571.580078125
1033.04717326862	22886.7265625
1033.05761653221	35320.34765625
1033.06806000694	22260.18359375
1033.07850369283	34167.08203125
1033.08894758988	13932.9375
1033.0993916981	22059.234375
1033.10983601749	23237.943359375
1033.12028054806	18363.259765625
1033.13072528981	34303.6015625
1033.14117024276	27599.212890625
1033.15161540691	13619.54296875
1033.16206078226	14934.080078125
1033.17250636883	15535.0576171875
1033.18295216661	45823.69140625
1033.19339817562	29639.12890625
1033.20384439586	49765.94921875
1033.21429082734	31081.548828125
1033.22473747006	13173.6396484375
1033.23518432403	31820.640625
1033.24563138926	35229.75390625
1033.25607866575	28437.603515625
1033.26652615351	9872.1474609375
1033.27697385255	9659.890625
1033.28742176287	12865.755859375
1033.29786988448	40916.60546875
1033.30831821738	18243.7109375
1033.31876676159	22218.798828125
1033.3292155171	16147.8095703125
1033.33966448393	23313.9765625
1033.35011366208	25633.298828125
1033.36056305155	40878.7578125
1033.37101265236	15553.7294921875
1033.38146246451	17500.919921875
1033.39191248801	39439.74609375
1033.40236272286	35521.61328125
1033.41281316907	18482.7109375
1033.42326382664	15721.5166015625
1033.43371469559	8279.99609375
1033.44416577591	9936.0361328125
1033.45461706762	40610.37109375
1033.46506857072	26739.228515625
1033.47552028522	10512.529296875
1033.48597221112	18058.173828125
1033.49642434844	22925.984375
1033.50687669717	12525.8134765625
1033.51732925732	9900.380859375
1033.52778202891	16383.8876953125
1033.53823501193	18573.083984375
1033.54868820639	19531.46484375
1033.5591416123	22609.68359375
1033.56959522967	21253.75390625
1033.5800490585	4734.8720703125
1033.5905030988	18882.078125
1033.60095735057	32121.33984375
1033.61141181383	18495.333984375
1033.62186648857	27024.474609375
1033.63232137481	31557.494140625
1033.64277647254	55940.03125
1033.65323178179	42951.046875
1033.66368730254	16146.66796875
1033.67414303482	35249.421875
1033.68459897862	23389.6796875
1033.69505513396	38232.95703125
1033.70551150083	19446.1875
1033.71596807925	10027.326171875
1033.72642486922	31517.853515625
1033.73688187075	28956.7578125
1033.74733908385	25979.861328125
1033.75779650851	15302.5625
1033.76825414475	25119.86328125
1033.77871199258	28261.5
1033.789170052	19187.544921875
1033.79962832301	59478.125
1033.81008680563	30834.7265625
1033.82054549986	11237.4931640625
1033.8310044057	17632.16796875
1033.84146352316	27481.380859375
1033.85192285226	32846.1875
1033.86238239299	22465.529296875
1033.87284214536	20611.353515625
1033.88330210938	44413.30078125
1033.89376228505	28573.232421875
1033.90422267238	15728.58984375
1033.91468327139	25226.2421875
1033.92514408206	23093.51953125
1033.93560510442	30460.75
1033.94606633846	30853.380859375
1033.9565277842	42100.6484375
1033.96698944163	42260.66796875
1033.97745131077	15068.8701171875
1033.98791339163	21938.228515625
1033.9983756842	31889.509765625
1034.0088381885	63302.30078125
1034.01930090453	51070.32421875
1034.0297638323	67989.2578125
1034.04022697181	74628.765625
1034.05069032307	528173.5625
1034.06115388609	370604.03125
1034.07161766088	235244.765625
1034.08208164743	130689.0703125
1034.09254584576	129015.6171875
1034.10301025588	109483.875
1034.11347487778	74377.5234375
1034.12393971148	62300.328125
1034.13440475698	57082.8359375
1034.14487001429	45467.20703125
1034.15533548342	55634.51171875
1034.16580116437	27462.841796875
1034.17626705715	22931.146484375
1034.18673316176	22091.669921875
1034.19719947821	36584.5859375
1034.20766600651	9667.8154296875
1034.21813274666	17532.025390625
1034.22859969867	14959.2607421875
1034.23906686255	43918.3125
1034.24953423831	14370.1171875
1034.26000182594	15899.431640625
1034.27046962546	9548.482421875
1034.28093763687	30258.119140625
1034.29140586018	16044.181640625
1034.30187429539	18532.431640625
1034.31234294252	26475.380859375
1034.32281180157	35580.56640625
1034.33328087253	16867.92578125
1034.34375015544	35709.3671875
1034.35421965027	12898.7568359375
1034.36468935706	19305.205078125
1034.37515927579	55819.92578125
1034.38562940648	6907.3486328125
1034.39609974913	27320.42578125
1034.40657030375	43046.06640625
1034.41704107035	39474.3125
1034.42751204893	15560.1787109375
1034.4379832395	33933.16015625
1034.44845464207	26705.212890625
1034.45892625663	7142.77490234375
1034.46939808321	70026.828125
1034.4798701218	41031.76171875
1034.49034237241	52290.52734375
1034.50081483505	26597.603515625
1034.51128750972	58368.69140625
1034.52176039644	48765.09375
1034.5322334952	93523.65625
1034.54270680601	113767.515625
1034.55318032888	388497.15625
1034.56365406382	421444.9375
1034.57412801084	268556.71875
1034.58460216993	148120.890625
1034.5950765411	111858.2265625
1034.60555112437	109177.015625
1034.61602591974	65513.5546875
1034.62650092721	61832.75
1034.6369761468	49490.42578125
1034.6474515785	58130.0546875
1034.65792722232	44759.03515625
1034.66840307828	26470.369140625
1034.67887914637	61707.58203125
1034.68935542661	26735.51171875
1034.699831919	64853.4140625
1034.71030862354	12930.1064453125
1034.72078554025	49366.6953125
1034.73126266912	32076.01953125
1034.74174001017	47114.17578125
1034.75221756341	34886.6171875
1034.76269532883	38051.25390625
1034.77317330645	32460.060546875
1034.78365149627	25409.158203125
1034.79412989829	14608.6943359375
1034.80460851254	38095.70703125
1034.815087339	9990.1064453125
1034.82556637769	26596.669921875
1034.83604562861	15667.181640625
1034.84652509177	19346.912109375
1034.85700476718	12316.4267578125
1034.86748465485	28145.28125
1034.87796475477	18502.767578125
1034.88844506696	12130.2373046875
1034.89892559142	40649.6015625
1034.90940632816	48579.90234375
1034.91988727719	27639.615234375
1034.93036843851	29622.076171875
1034.94084981212	60595.58984375
1034.95133139804	21245.3359375
1034.96181319628	24217.26953125
1034.97229520683	29319.455078125
1034.9827774297	15733.00390625
1034.9932598649	19785.455078125
1035.00374251244	53974.046875
1035.01422537233	44949.28515625
1035.02470844456	57959.25
1035.03519172915	80404.515625
1035.04567522611	70869.421875
1035.05615893543	252758.5625
1035.06664285713	199145.40625
1035.07712699121	118209.4140625
1035.08761133768	84917.0703125
1035.09809589654	41491.78515625
1035.10858066781	38434.64453125
1035.11906565148	40964.4453125
1035.12955084757	42395.73046875
1035.14003625608	26899.59375
1035.15052187702	56669.73828125
1035.16100771039	14227.3505859375
1035.1714937562	36339.390625
1035.18198001446	16954.181640625
1035.19246648517	13711.451171875
1035.20295316834	21662.8125
1035.21344006397	56111.82421875
1035.22392717208	16799.357421875
1035.23441449267	29693.341796875
1035.24490202574	30479.826171875
1035.25538977131	41690.21875
1035.26587772937	14629.6279296875
1035.27636589994	12165.126953125
1035.28685428302	40425.6171875
1035.29734287861	26282.44140625
1035.30783168674	23455.30078125
1035.31832070739	32516.1796875
1035.32880994058	56508.5234375
1035.33929938631	46845.203125
1035.34978904459	31021.576171875
1035.36027891543	14022.5517578125
1035.37076899883	36468.8671875
1035.3812592948	45823.30078125
1035.39174980335	19129.216796875
1035.40224052448	37156.11328125
1035.4127314582	34535.55859375
1035.42322260451	8790.109375
1035.43371396343	24365.646484375
1035.44420553495	21030.44140625
1035.45469731909	30157.912109375
1035.46518931585	20082.2421875
1035.47568152524	59560.0546875
1035.48617394726	36952.33984375
1035.49666658192	47966.33984375
1035.50715942923	21489.669921875
1035.51765248919	13633.658203125
1035.52814576181	7446.30126953125
1035.5386392471	24541.548828125
1035.54913294506	64190.03515625
1035.5596268557	210887.375
1035.57012097903	99484
1035.58061531505	49196.421875
1035.59110986377	41941.46484375
1035.60160462519	35960.40625
1035.61209959932	35888.80078125
1035.62259478617	42238.18359375
1035.63309018575	34356.98046875
1035.64358579806	41032.7578125
1035.6540816231	10934.4912109375
1035.66457766089	15807.796875
1035.67507391143	36957.0703125
1035.68557037473	5126.29052734375
1035.69606705079	17023.701171875
1035.70656393962	21386.486328125
1035.71706104122	30645.37109375
1035.72755835561	26624.5078125
1035.73805588279	9692.658203125
1035.74855362276	25324.654296875
1035.75905157554	2671.36767578125
1035.76954974112	24182.693359375
1035.78004811952	7616.8310546875
1035.79054671074	21802.083984375
1035.80104551479	8958.1982421875
1035.81154453168	33805.0703125
1035.8220437614	25007.115234375
1035.83254320397	29121.861328125
1035.8430428594	2425.46923828125
1035.85354272769	32912.6875
1035.86404280884	33557.30078125
1035.87454310287	17135.349609375
1035.88504360977	10339.3759765625
1035.89554432957	11323.35546875
1035.90604526225	4720.583984375
1035.91654640784	28537.97265625
