mz	intensity
1032.05602511895	81269.2138671875
1032.06644835266	74262.9921875
1032.0768717969	43151.791015625
1032.08729545169	51366.4829101563
1032.09771931703	68624.21875
1032.10814339293	80002.3916015625
1032.1185676794	47283.9624023438
1032.12899217644	64049.4106445313
1032.13941688406	47745.9716796875
1032.14984180227	110342.6875
1032.16026693107	75070.154296875
1032.17069227046	51199.3051757813
1032.18111782046	68332.8627929688
1032.19154358107	102921.22265625
1032.2019695523	51014.0483398438
1032.21239573415	69845.283203125
1032.22282212664	89006.275390625
1032.23324872976	59036.7844238281
1032.24367554352	71441.041015625
1032.25410256793	68582.330078125
1032.26452980299	61629.5493164063
1032.27495724872	74363.025390625
1032.28538490512	70142.00390625
1032.29581277219	71036.484375
1032.30624084994	54578.060546875
1032.31666913838	33056.048828125
1032.32709763751	69035.009765625
1032.33752634735	74673.484375
1032.34795526789	58413.3505859375
1032.35838439914	87234.349609375
1032.36881374111	42878.4379882813
1032.37924329381	58278.46875
1032.38967305724	49231.7612304688
1032.40010303141	64039.7080078125
1032.41053321633	40842.2119140625
1032.42096361199	85400.3979492188
1032.43139421841	59794.287109375
1032.4418250356	103048.755859375
1032.45225606356	76429.2919921875
1032.46268730229	50102.337890625
1032.47311875181	96624.22265625
1032.48355041212	67086.5224609375
1032.49398228322	92143.8852539063
1032.50441436513	109565.94921875
1032.51484665785	94402.806640625
1032.52527916138	74016.48828125
1032.53571187573	125830.421875
1032.54614480091	118610.44140625
1032.55657793692	75592.5625
1032.56701128378	76729.7661132813
1032.57744484148	63837.60546875
1032.58787861004	93091.5703125
1032.59831258945	43570.892578125
1032.60874677974	89949.689453125
1032.61918118089	89209.1474609375
1032.62961579293	71202.255859375
1032.64005061584	44251.134765625
1032.65048564966	73494.23828125
1032.66092089437	70632.076171875
1032.67135634998	56403.05859375
1032.68179201651	67256.0126953125
1032.69222789395	77957.6591796875
1032.70266398232	58475.4169921875
1032.71310028162	65344.3369140625
1032.72353679185	94073.73046875
1032.73397351303	59572.7280273438
1032.74441044515	62965.173828125
1032.75484758824	68705.73046875
1032.76528494228	115490.865234375
1032.7757225073	40806.3032226563
1032.78616028329	52055.9462890625
1032.79659827026	74126.34765625
1032.80703646821	108644.994140625
1032.81747487717	83084.201171875
1032.82791349712	64170.4584960938
1032.83835232808	98505.3447265625
1032.84879137005	58435.6015625
1032.85923062305	63795.93359375
1032.86967008707	63594.263671875
1032.88010976212	83330.80859375
1032.89054964821	97367.7109375
1032.90098974535	61394.494140625
1032.91143005354	69567.1708984375
1032.92187057278	98972.4775390625
1032.93231130309	47544.0087890625
1032.94275224448	89686.90234375
1032.95319339694	115990.23828125
1032.96363476048	120175.73828125
1032.97407633512	42766.3251953125
1032.98451812085	96981.669921875
1032.99496011768	45507.54296875
1033.00540232562	115372.501953125
1033.01584474468	73626.93359375
1033.02628737486	98856.0219726563
1033.03673021617	50686.9580078125
1033.04717326862	86179.34765625
1033.05761653221	93383.494140625
1033.06806000694	75749.958984375
1033.07850369283	70776.607421875
1033.08894758988	98202.619140625
1033.0993916981	61787.0322265625
1033.10983601749	80170.13671875
1033.12028054806	78035.8916015625
1033.13072528981	81758.140625
1033.14117024276	103226.482421875
