mz	mzPPMCorrection	scan	scanPPMCorrection
411.7192	-5.910593	2273	0.3868074
510.7192	-5.915863	3597.833	-0.3318398
609.7192	-4.390164	4922.667	-0.4915392
709.7192	-3.793374	6247.5	-0.7310883
808.7192	-3.201596	7572.333	-0.7310883
907.7192	-2.862761	8897.167	-0.1721404
1007.719	-2.692095	10222	-0.1721404
1106.719	-2.777531	11546.83	-0.4915392
1205.719	-2.608724	12871.67	0.3069577
1305.719	-2.438445	14196.5	0.4666571
1404.719	-2.010877	15521.33	0.6263565
1503.719	-2.861538	16846.17	0.7860559
