Dataset	MassTagID	ChargeState	Scan	ScanStart	ScanEnd	NET	NumChromPeaksWithinTol	MonoisotopicMass	MonoMZ	IntensityRep	FitScore	IScore
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25172	2	4236	4231	4243	0.2521	0	1305.68681	653.85068	1.779328E+07	0.0023	0.0267
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25172	1	4243	4240	4251	0.2524	0	1305.68908	1306.69635	839129	0.0500	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	26766	2	4108	4101	4112	0.2483	0	1375.70301	688.85878	2718406	0.0089	0.0520
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25008	2	3652	3644	3656	0.2244	0	986.54452	494.27954	4.588449E+07	0.0014	0.0435
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25008	1	3646	3643	3654	0.2243	0	986.54745	987.55472	9012523	0.0049	0.0173
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25047	2	5170	5166	5178	0.2900	0	1802.87316	902.44386	2.826842E+07	0.0027	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25047	3	5170	5167	5179	0.2900	0	1802.87257	601.96480	3.0281E+07	0.0039	0.0207
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	27418	2	4394	4391	4403	0.2568	0	1804.96182	903.48819	3.169734E+07	0.0044	0.0046
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	27418	3	4394	4390	4402	0.2568	0	1804.96076	602.66086	4.296022E+07	0.0050	0.0069
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	29459	2	3789	3782	3794	0.2284	0	1157.58609	579.80032	4946228	0.0198	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25684	1	3659	3654	3666	0.2246	0	1101.59801	1102.60529	1142592	0.0076	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25137	1	3446	3438	3450	0.2157	0	1072.55570	1073.56298	9048189	0.0124	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25137	2	3446	3437	3449	0.2157	0	1072.55358	537.28407	3.839199E+07	0.0025	0.0046
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31422	3	5537	5530	5541	0.3059	0	2286.08831	763.03671	2586699	0.0064	0.0453
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24716	3	6397	6394	6405	0.3391	0	2195.04082	732.68755	7471772	0.0107	0.0862
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24716	2	6397	6393	6405	0.3391	0	2195.04395	1098.52925	1781286	0.0138	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24788	2	7075	7071	7083	0.3667	0	1699.79884	850.90670	2.415356E+07	0.0025	0.0281
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24788	3	7082	7075	7087	0.3668	0	1699.79749	567.60644	2848761	0.0059	0.0573
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24806	3	7171	7164	7176	0.3694	0	2716.39791	906.47325	2.249993E+07	0.0116	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24806	2	7171	7167	7179	0.3695	0	2716.39749	1359.20602	3011125	0.0226	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24828	3	6267	6260	6272	0.3324	0	2071.10687	691.37623	1.625748E+07	0.0044	0.0321
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24831	4	6418	6415	6426	0.3403	0	2538.26344	635.57314	3924325	0.0233	0.0589
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24890	2	6439	6432	6444	0.3413	0	1488.70630	745.36042	1.0113E+07	0.0034	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24707	4	6551	6549	6560	0.3462	0	2439.20258	610.80792	1878921	0.0219	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24786	3	5769	5765	5776	0.3127	0	2183.02789	728.68324	5385068	0.0083	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24786	2	5769	5767	5778	0.3128	0	2183.02878	1092.52167	2033689	0.0134	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24823	2	7546	7542	7553	0.3911	0	1668.81429	835.41442	4.200432E+07	0.0044	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24829	4	7386	7383	7395	0.3850	0	2107.12901	527.78953	9953324	0.0028	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24908	2	7546	7541	7553	0.3911	0	2429.29514	1215.65485	2077982	0.0599	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24908	3	7546	7542	7553	0.3911	0	2429.29694	810.77292	1704017	0.0145	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24918	3	5550	5541	5553	0.3063	0	2048.05768	683.69317	2019726	0.0256	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24781	2	5894	5889	5901	0.3163	0	1933.86934	967.94195	8385266	0.0066	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24789	2	7463	7459	7471	0.3888	0	1854.97659	928.49557	2.17241E+07	0.0028	0.0316
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24698	4	5901	5894	5906	0.3165	0	2311.07559	578.77617	4011737	0.0227	0.0352
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24723	4	7662	7654	7666	0.3944	0	2847.34415	712.84331	1247873	0.0240	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24759	4	7723	7716	7728	0.3961	0	3864.86988	967.22475	1.288612E+07	0.0020	0.0116
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24759	3	7723	7716	7728	0.3962	0	3864.87005	1289.29729	4376409	0.0149	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24825	3	7730	7724	7735	0.3964	0	2430.09121	811.03768	4499703	0.0066	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24825	2	7730	7726	7738	0.3964	0	2430.09284	1216.05369	987321	0.0210	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24748	2	6688	6685	6697	0.3507	0	2433.21451	1217.61453	9074655	0.0092	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24702	4	8035	8029	8041	0.4071	0	2920.52241	731.13788	4075423	0.0176	0.0512
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24733	2	9742	9735	9747	0.4902	0	2405.19346	1203.60401	5.60098E+07	0.0034	0.0118
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24769	2	9010	9005	9017	0.4531	0	2086.05182	1044.03319	5016982	0.0064	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24769	3	9010	9004	9016	0.4531	0	2086.05140	696.35774	1.113601E+07	0.0038	0.0366
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24784	2	8301	8293	8305	0.4183	0	1821.83277	911.92366	8591342	0.0173	0.0195
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24833	3	9506	9502	9513	0.4766	0	3196.46065	1066.49416	1385440	0.0250	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24864	2	8356	8352	8364	0.4206	0	2165.18780	1083.60118	2.440036E+07	0.0036	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24701	2	7842	7835	7847	0.3997	0	2337.22530	1169.61992	7552703	0.0056	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24749	2	7940	7938	7949	0.4026	0	2368.19304	1185.10379	2551311	0.0218	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24749	3	7940	7938	7949	0.4026	0	2368.19290	790.40491	1.008309E+07	0.0250	0.0462
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24810	5	9486	9483	9495	0.4755	0	3551.79241	711.36576	1608117	0.0339	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24827	2	9238	9235	9247	0.4665	0	2545.22256	1273.61856	2.547791E+07	0.0020	0.0185
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24853	3	8492	8490	8502	0.4286	0	2992.61488	998.54557	4.19143E+07	0.0053	0.0036
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24853	4	8492	8487	8499	0.4285	0	2992.61230	749.16035	1.142387E+07	0.0103	0.0274
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24853	2	8499	8495	8507	0.4289	0	2992.62092	1497.31774	2043578	0.0253	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24856	2	9513	9510	9522	0.4771	0	1761.85508	881.93481	1.501056E+07	0.0015	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24860	2	8168	8163	8175	0.4145	0	1984.95687	993.48571	4304766	0.0258	0.0303
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24870	3	8301	8298	8310	0.4185	0	3059.46589	1020.82924	2.874547E+07	0.0141	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24796	2	9052	9046	9058	0.4555	0	2044.96357	1023.48906	1.326015E+07	0.0041	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24802	2	9176	9174	9186	0.4630	0	2624.25643	1313.13549	1796942	0.0581	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24754	2	9224	9219	9231	0.4656	0	2257.13737	1129.57596	907898	0.0368	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24791	2	9410	9403	9414	0.4719	0	2422.11492	1212.06474	1598988	0.0174	0.0588
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	25024	3	8913	8905	8916	0.4473	0	1946.00786	649.67656	1902414	0.0129	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24728	2	9881	9874	9886	0.4963	0	2313.12456	1157.56956	1.574854E+07	0.0111	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24804	2	7877	7871	7883	0.4007	0	2039.09365	1020.55410	6717419	0.0112	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24849	2	9107	9099	9111	0.4586	0	2431.12095	1216.56775	2.007567E+07	0.0086	0.0064
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24761	3	11075	11071	11083	0.5507	0	1554.85146	519.29110	1673483	0.0152	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24812	4	11220	11218	11229	0.5568	0	2466.29557	617.58117	4926884	0.0205	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24816	3	10248	10243	10255	0.5090	0	1811.99161	605.00448	4738817	0.0173	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24816	2	10248	10239	10251	0.5087	0	1811.99330	907.00393	1679595	0.0083	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24727	3	10234	10227	10238	0.5080	0	2831.42601	944.81595	5660207	0.0179	0.0988
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24782	3	11726	11718	11730	0.5820	0	2959.44587	987.48923	3392619	0.0576	0.0522
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24782	2	11726	11722	11734	0.5821	0	2959.44580	1480.73018	1045181	0.0100	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24820	2	10999	10995	11007	0.5440	0	2758.43433	1380.22444	5406276	0.0130	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24785	2	10553	10548	10559	0.5266	0	2654.18846	1328.10151	1880138	0.0151	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24715	3	11075	11071	11083	0.5507	0	1554.85146	519.29110	1673483	0.0157	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24821	4	9916	9913	9925	0.4975	0	2345.20993	587.30976	1.026931E+07	0.0069	0.0662
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24899	2	11885	11881	11893	0.5868	0	2523.24335	1262.62895	4245549	0.0034	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24771	3	10185	10178	10189	0.5052	0	2896.31498	966.44560	3076345	0.0163	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24794	2	10636	10631	10643	0.5291	0	2399.13255	1200.57355	1119840	0.0383	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24861	2	10248	10242	10254	0.5089	0	1953.05088	977.53271	3.16954E+07	0.0011	0.0107
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24954	3	12038	12033	12044	0.5912	0	3539.82255	1180.94812	3513067	0.0136	0.0881
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24997	3	10964	10960	10972	0.5411	0	3428.80637	1143.94273	1706524	0.0124	0.0796
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	29103	3	10713	10707	10719	0.5313	0	1835.08374	612.70186	922281	0.0198	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	29440	3	10338	10333	10345	0.5142	0	2649.43123	884.15102	1.373821E+07	0.0101	0.0175
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31016	3	10415	10407	10419	0.5185	0	3189.53864	1064.18682	4673051	0.0126	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31344	2	10894	10889	10901	0.5365	0	2617.31919	1309.66687	9744152	0.0062	0.0190
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31352	3	10845	10839	10851	0.5351	0	1626.81983	543.28055	1899748	0.0348	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31356	3	10685	10679	10691	0.5305	0	2192.07704	731.69962	919660	0.0115	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31361	2	11214	11206	11217	0.5565	0	2905.35443	1453.68449	1119360	0.0367	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	31407	2	10845	10837	10849	0.5350	0	1961.02921	981.52188	4806267	0.0042	0.0372
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	28000	3	10492	10485	10497	0.5230	0	1862.95473	621.99219	1.50101E+07	0.0019	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24700	5	12712	12708	12720	0.6306	0	3371.81632	675.37054	865751	0.0161	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24705	4	13564	13555	13567	0.6744	0	2586.30784	647.58424	2642429	0.0035	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24709	4	12985	12981	12993	0.6411	0	3135.69343	784.93063	913715	0.0257	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24772	2	13557	13549	13561	0.6741	0	2782.43072	1392.22263	2339310	0.0033	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24809	2	12470	12464	12476	0.6164	0	2166.19869	1084.10662	2147650	0.0107	0.0239
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24809	3	12470	12463	12475	0.6163	0	2166.19811	723.07331	1308810	0.0356	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24854	4	13390	13384	13395	0.6609	0	4059.09066	1015.77994	3.200501E+07	0.0086	0.0058
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24854	3	13480	13472	13484	0.6686	0	4059.08331	1354.03505	4774823	0.0097	0.0082
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24869	3	12740	12736	12748	0.6322	0	3128.60028	1043.87404	8515727	0.0069	0.0067
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24879	3	12490	12488	12499	0.6178	0	3668.86296	1223.96160	1.731237E+07	0.0058	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24879	4	12504	12496	12508	0.6182	0	3668.86281	918.22298	2190522	0.0201	0.0000
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24721	2	13599	13594	13606	0.6766	0	2427.32025	1214.66740	7504688	0.0041	0.0784
QC_Shew_08_04-pt5-2_11Jan09_Sphinx_08-11-18	24730	2	12985	12980	12992	0.6410	0	2154.09941	1078.05698	6239271	0.0072	0.0302
