scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
6005,2,13084442,481.27411,0.0101,961.12423,960.53476,960.53476,0.0079,100,13084442,1746590,,0
6005,2,9063344,639.8221,0.0129,1278.41252,1277.63075,1277.63075,0.0118,95.17,9063344,1940064,,0.05433
6005,3,7917912,579.62976,0.0229,1737.01335,1735.86909,1735.86909,0.0104,100,7917912,4740388,,0.36731
6005,2,7332420,903.9433,0.0099,1807.05942,1805.87313,1806.87604,0.0205,100,7332420,4112652,,0
6005,2,6827443,1154.98799,0.0274,2309.46172,2307.96234,2308.96524,0.0291,100,4934751,3965972,,0
6005,1,6309255,885.48895,0.0064,885.01946,884.48222,884.48222,0.0198,100,6309255,0,,0
6005,2,6298548,400.25357,0.007,798.98661,798.49367,798.49367,0.0061,100,6298548,0,,0
6005,2,6138894,530.28456,0.0533,1059.20069,1058.55566,1058.55566,0.0093,100,6138894,0,,0
6005,1,5780097,471.22117,0.007,470.50205,470.21441,470.21441,0.0077,100,5780097,0,,0
6005,1,5398613,729.44693,0.0152,728.88181,728.4402,728.4402,0.0145,100,5398613,0,,0
6005,2,4750353,637.82096,0.0275,1274.40965,1273.62847,1273.62847,0.0124,100,4750353,957441,,0
6005,2,4719197,660.34406,0.0303,1319.48327,1318.67467,1318.67467,0.013,100,4719197,972176,,0
6005,1,4643159,831.47847,0.0119,830.97866,830.47175,830.47175,0.0181,100,4643159,0,,0
6005,4,4416187,579.53502,0.0714,2315.61266,2314.11237,2315.11528,0.0107,100,3962314,3471577,,0.47091
6005,2,4250115,807.37435,0.0489,1613.80884,1612.73526,1612.73526,0.0173,100,4250115,1825837,,0
6005,2,4222743,492.80497,0.0096,984.19872,983.59648,983.59648,0.0082,100,4222743,0,,0
6005,1,3266908,754.37393,0.0117,753.83103,753.36721,753.36721,0.0148,100,3266908,0,,0
6005,3,3184488,976.81177,0.0208,2929.28805,2927.41546,2928.41836,0.0228,100,2175748,3184488,,0.08117
6005,2,3164387,868.94411,0.0457,1737.01902,1735.87477,1735.87477,0.0183,36.14,3164387,1055169,,0
6005,3,3017622,750.66705,0.0532,2250.44226,2248.98171,2249.9846,0.0154,100,2455804,1289708,,0
6005,2,2930165,644.29095,0.0116,1287.35159,1286.56845,1286.56845,0.0123,100,2930165,0,,0
6005,2,2844240,597.86066,0.0321,1194.4362,1193.70786,1193.70786,0.0107,100,2844240,0,,0.27838
6005,2,2641444,791.42443,0.0487,1581.87961,1580.83083,1580.83083,0.0173,1161.46,2417950,1129810,,0.2954
6005,4,2596037,434.97284,0.0488,1737.00872,1735.86447,1735.86447,0.0068,100,2596037,835160,,0
6005,5,2495107,463.82943,0.0987,2315.61362,2314.11349,2315.11641,0.0073,100,2495107,2231305,,0.29122
6005,3,2459809,640.99362,0.1625,1921.21721,1919.96146,1920.96439,0.012,180.42,1075987,768751,,0.63849
6005,2,2445993,746.87333,0.0128,1492.72764,1491.73321,1491.73321,0.0152,100,2445993,873734,,0
6005,2,2418848,727.37691,0.0432,1453.71757,1452.74036,1452.74036,0.0147,28.35,2418848,0,,0
6005,2,2276629,628.86117,0.0565,1256.47651,1255.70888,1255.70888,0.012,100,2276629,0,,0
6005,3,1987297,619.64644,0.0654,1857.14442,1855.91912,1856.92201,0.0116,100,1987297,0,,0
6005,2,1927814,707.39763,0.0811,1413.73284,1412.78181,1412.78181,0.0147,37.98,1927814,0,,0.25884
6005,2,1870365,967.94226,0.041,1935.13961,1933.87107,1934.87396,0.0227,100,1870365,797966,,0
6005,1,1810023,948.46738,0.0106,948.03886,947.46065,947.46065,0.0217,100,1810023,0,,0
6005,3,1796087,599.63215,0.0305,1797.06056,1795.87563,1796.87854,0.0112,100,1671332,780206,,0.30537
6005,2,1747853,776.95269,0.0514,1552.92687,1551.89192,1551.89192,0.0158,100,1747853,0,,0.31997
6005,3,1535176,772.37838,0.0084,2315.61582,2314.11553,2315.11844,0.0155,100,1262732,1066816,1,0.45621
6005,2,1505670,691.34842,0.027,1381.60895,1380.68338,1380.68338,0.0133,100,1505670,0,,0
6005,3,1412482,557.9861,0.0781,1672.04173,1670.9386,1670.9386,0.0094,12.52,1236698,0,,0
6005,2,1407050,791.88545,0.059,1582.80622,1581.75744,1581.75744,0.0184,618.69,1407050,0,,0.661
6005,2,1310105,503.30492,0.0364,1005.2111,1004.5964,1004.5964,0.0083,100,1310105,0,,0.46466
6005,2,1305871,1016.01149,0.0961,2031.33332,2030.00952,2031.01242,0.0233,100,1305871,0,,0
6005,4,1281531,576.79649,0.0336,2304.64693,2303.15745,2304.16036,0.0105,100,1091919,811749,,0
6005,3,1236179,554.95027,0.041,1662.93225,1661.83064,1661.83064,0.0094,100,1236179,0,,0
6005,2,1172868,502.77071,0.0612,1004.14252,1003.52797,1003.52797,0.0087,100,1172868,0,1,0.42248
6005,2,1163276,739.37611,0.027,1477.73094,1476.73877,1476.73877,0.0153,9.65,1163276,1303533,,0
