Job	Pri	State	Tool	Dataset	Campaign	Experiment	Instrument	Parm File	Settings_File	Organism	Organism DB	Protein Collection List	Protein Options	Comment	Created	Started	Finished	Runtime	Associated Processor Group	Job Request	Results Folder	Archive Folder Path	Last_Affected
288488	2	Complete	Decon2LS	RSPH_PtoA_L_13_rep2_9Mar08_Raptor_08-01-02	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_13	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/10/2008 10:42 AM	3/10/2008 10:42 AM	3/10/2008 12:09 PM	82.77		1	DLS200803101205_Auto288488	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_13_rep2_9Mar08_Raptor_08-01-02\DLS200803101205_Auto288488	3/10/2008 12:09 PM
288487	2	Complete	Decon2LS	RSPH_PtoA_L_08_rep2_7Mar08_Raptor_08-01-02	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_08	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/10/2008 10:40 AM	3/10/2008 10:41 AM	3/10/2008 12:19 PM	96.27		1	DLS200803101217_Auto288487	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_08_rep2_7Mar08_Raptor_08-01-02\DLS200803101217_Auto288487	3/10/2008 12:19 PM
288486	2	Complete	Decon2LS	RSPH_PtoA_L_25_rep3_6Mar08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_25	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/10/2008 10:40 AM	3/10/2008 10:40 AM	3/10/2008 01:19 PM	158.75		1	DLS200803101319_Auto288486	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_25_rep3_6Mar08_Raptor_08-01-04\DLS200803101319_Auto288486	3/10/2008 01:19 PM
288081	2	Complete	Decon2LS	RSPH_PtoA_L_27_rep2_6Mar08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_27	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/6/2008 02:06 PM	3/6/2008 02:07 PM	3/6/2008 04:05 PM	113.73		1	DLS200803061600_Auto288081	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_27_rep2_6Mar08_Raptor_08-01-04\DLS200803061600_Auto288081	3/6/2008 04:05 PM
287690	2	Complete	Decon2LS	RSPH_PtoA_L_28_rep2_2Mar08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_28	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/4/2008 12:21 PM	3/4/2008 02:46 PM	3/4/2008 05:31 PM	164.07		1	DLS200803041730_Auto287690	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_28_rep2_2Mar08_Raptor_08-01-04\DLS200803041730_Auto287690	3/4/2008 05:31 PM
287689	2	Complete	Decon2LS	RSPH_PtoA_L_25_rep2_2Mar08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_25	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/4/2008 12:21 PM	3/4/2008 02:46 PM	3/4/2008 05:36 PM	168.60		1	DLS200803041734_Auto287689	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_25_rep2_2Mar08_Raptor_08-01-04\DLS200803041734_Auto287689	3/4/2008 05:36 PM
287688	2	Complete	Decon2LS	RSPH_PtoA_L_26_rep2_2Mar08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_26	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/4/2008 12:21 PM	3/4/2008 02:20 PM	3/4/2008 04:41 PM	140.85		1	DLS200803041640_Auto287688	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_26_rep2_2Mar08_Raptor_08-01-04\DLS200803041640_Auto287688	3/4/2008 04:41 PM
287498	2	Complete	Decon2LS	RSPH_PtoA_L_26_rep2_28Feb08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_26	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/1/2008 04:41 PM	3/1/2008 05:33 PM	3/1/2008 08:23 PM	167.60		1	DLS200803012020_Auto287498	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_26_rep2_28Feb08_Raptor_08-01-04\DLS200803012020_Auto287498	3/1/2008 08:23 PM
287497	2	Complete	Decon2LS	RSPH_PtoA_L_01_rep2r_28Feb08_Raptor_08-01-02	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_01	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/1/2008 04:09 PM	3/1/2008 04:45 PM	3/1/2008 07:32 PM	167.22		1	DLS200803011931_Auto287497	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_01_rep2r_28Feb08_Raptor_08-01-02\DLS200803011931_Auto287497	3/1/2008 07:32 PM
287496	2	Complete	Decon2LS	RSPH_PtoA_L_09_rep2r_28Feb08_Raptor_08-01-02	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_09	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/1/2008 04:01 PM	3/1/2008 04:29 PM	3/1/2008 07:12 PM	160.62		1	DLS200803011909_Auto287496	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_09_rep2r_28Feb08_Raptor_08-01-02\DLS200803011909_Auto287496	3/1/2008 07:12 PM
287495	2	Complete	Decon2LS	RSPH_PtoA_L_22_rep2r_28Feb08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_22	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/1/2008 03:49 PM	3/1/2008 04:20 PM	3/1/2008 07:27 PM	187.23		1	DLS200803011926_Auto287495	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_22_rep2r_28Feb08_Raptor_08-01-04\DLS200803011926_Auto287495	3/1/2008 07:27 PM
287494	2	Complete	Decon2LS	RSPH_PtoA_L_25_rep1r_28Feb08_Raptor_08-01-01	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_25	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	3/1/2008 03:46 PM	3/1/2008 04:17 PM	3/1/2008 06:12 PM	113.08		1	DLS200803011810_Auto287494	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_25_rep1r_28Feb08_Raptor_08-01-01\DLS200803011810_Auto287494	3/1/2008 06:12 PM
287399	2	Complete	Decon2LS	RSPH_PtoA_L_28_rep1_28Feb08_Raptor_08-01-01	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_28	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/29/2008 09:39 AM	2/29/2008 09:43 AM	2/29/2008 01:45 PM	237.58		1	DLS200802291341_Auto287399	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_28_rep1_28Feb08_Raptor_08-01-01\DLS200802291341_Auto287399	2/29/2008 01:45 PM
287398	2	Complete	Decon2LS	RSPH_PtoA_L_24_rep2_28Feb08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_24	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/29/2008 09:39 AM	2/29/2008 09:42 AM	2/29/2008 11:49 AM	126.42		1	DLS200802291148_Auto287398	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_24_rep2_28Feb08_Raptor_08-01-04\DLS200802291148_Auto287398	2/29/2008 11:49 AM
287397	2	Complete	Decon2LS	RSPH_PtoA_L_20_rep1_28Feb08_Raptor_08-01-01	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_20	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/29/2008 09:39 AM	2/29/2008 09:39 AM	2/29/2008 01:40 PM	236.62		1	DLS200802291336_Auto287397	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_20_rep1_28Feb08_Raptor_08-01-01\DLS200802291336_Auto287397	2/29/2008 01:40 PM
285389	2	Complete	Decon2LS	RSPH_PtoA_L_01_rep2_21Feb08_Raptor_08-01-02	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_01	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 07:14 PM	2/25/2008 08:10 PM	2/26/2008 02:30 AM	378.72		1	DLS200802260228_Auto285389	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_01_rep2_21Feb08_Raptor_08-01-02\DLS200802260228_Auto285389	2/26/2008 02:30 AM
285387	2	Complete	Decon2LS	RSPH_PtoA_L_23_rep2_25Feb08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_23	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 05:52 PM	2/25/2008 06:29 PM	2/25/2008 10:13 PM	220.88		1	DLS200802252209_Auto285387	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_23_rep2_25Feb08_Raptor_08-01-04\DLS200802252209_Auto285387	2/25/2008 10:13 PM
285386	2	Complete	Decon2LS	RSPH_PtoA_L_14_rep2_24Feb08_Raptor_08-01-02	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_14	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 05:49 PM	2/25/2008 06:19 PM	2/25/2008 07:57 PM	97.40		1	DLS200802251956_Auto285386	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_14_rep2_24Feb08_Raptor_08-01-02\DLS200802251956_Auto285386	2/25/2008 07:57 PM
285385	2	Complete	Decon2LS	RSPH_PtoA_L_16_rep1_21Feb08_Raptor_08-01-01	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_16	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 05:42 PM	2/25/2008 06:10 PM	2/25/2008 08:02 PM	108.40		1	DLS200802251958_Auto285385	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_16_rep1_21Feb08_Raptor_08-01-01\DLS200802251958_Auto285385	2/25/2008 08:02 PM
285308	2	Complete	Decon2LS	RSPH_PtoA_L_25_rep1_25Feb08_Raptor_08-01-01	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_25	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 01:01 PM	2/25/2008 03:50 PM	168.12		1	DLS200802251549_Auto285308	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_25_rep1_25Feb08_Raptor_08-01-01\DLS200802251549_Auto285308	2/25/2008 03:50 PM
285307	2	Complete	Decon2LS	RSPH_PtoA_L_10_rep3_24Feb08_Raptor_08-01-03	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_10	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 12:58 PM	2/25/2008 03:15 PM	135.75		1	DLS200802251514_Auto285307	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_10_rep3_24Feb08_Raptor_08-01-03\DLS200802251514_Auto285307	2/25/2008 03:15 PM
285306	2	Complete	Decon2LS	RSPH_PtoA_L_19_rep1_24Feb08_Raptor_08-01-01	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_19	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 12:58 PM	2/25/2008 04:15 PM	194.38		1	DLS200802251612_Auto285306	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_19_rep1_24Feb08_Raptor_08-01-01\DLS200802251612_Auto285306	2/25/2008 04:15 PM
285305	2	Complete	Decon2LS	RSPH_PtoA_L_17_rep2_24Feb08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_17	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 12:42 PM	2/25/2008 02:40 PM	113.15		1	DLS200802251435_Auto285305	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_17_rep2_24Feb08_Raptor_08-01-04\DLS200802251435_Auto285305	2/25/2008 02:40 PM
285304	2	Complete	Decon2LS	RSPH_PtoA_L_13_rep2_24Feb08_Raptor_08-01-02	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_13	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 12:32 PM	2/25/2008 04:00 PM	206.55		1	DLS200802251558_Auto285304	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_13_rep2_24Feb08_Raptor_08-01-02\DLS200802251558_Auto285304	2/25/2008 04:00 PM
285303	2	Complete	Decon2LS	RSPH_PtoA_L_18_rep1_24Feb08_Raptor_08-01-01	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_18	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 12:03 PM	2/25/2008 01:49 PM	105.57		1	DLS200802251348_Auto285303	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_18_rep1_24Feb08_Raptor_08-01-01\DLS200802251348_Auto285303	2/25/2008 01:49 PM
285302	2	Complete	Decon2LS	RSPH_PtoA_L_16_rep2_24Feb08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_16	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 11:15 AM	2/25/2008 03:05 PM	225.55		1	DLS200802251500_Auto285302	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_16_rep2_24Feb08_Raptor_08-01-04\DLS200802251500_Auto285302	2/25/2008 03:05 PM
285301	2	Complete	Decon2LS	RSPH_PtoA_L_15_rep1_24Feb08_Raptor_08-01-01	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_15	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 11:07 AM	2/25/2008 01:14 PM	125.38		1	DLS200802251312_Auto285301	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_15_rep1_24Feb08_Raptor_08-01-01\DLS200802251312_Auto285301	2/25/2008 01:14 PM
285300	2	Complete	Decon2LS	RSPH_PtoA_L_20_rep2_24Feb08_Raptor_08-01-04	Rhodobacter Sphaeroides - Huttlin	RSPH_PtoA_L_20	9T_FTICR	9T_Normal_2007_02_15.xml	na	Rhodobacter_sphaeroides_2.4.1	na	na	na	Auto predefined 1274	2/25/2008 10:40 AM	2/25/2008 11:06 AM	2/25/2008 01:54 PM	168.37		1	DLS200802251354_Auto285300	\\a2.emsl.pnl.gov\dmsarch\9T_FTICR_22\RSPH_PtoA_L_20_rep2_24Feb08_Raptor_08-01-04\DLS200802251354_Auto285300	2/25/2008 01:54 PM
