scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
6019,1,1759280,1007.45014,0.0561,1007.05841,1006.44341,1006.44341,0.0234,17.83,1759280,0
6019,2,1556907,967.94252,0.0389,1935.14044,1933.87175,1934.87464,0.022,15.78,1428793,647914
6019,2,1491505,585.33161,0.0458,1169.36349,1168.64976,1168.64976,0.01,15.11,1491505,367113
6019,2,1452074,767.84443,0.0252,1534.69575,1533.6747,1533.6747,0.0158,14.71,1421879,452712
6019,4,1435978,576.79716,0.0448,2304.64809,2303.15861,2304.16152,0.0104,14.55,883161,801255
6019,1,1423843,961.54294,0.0194,961.12569,960.53622,960.53622,0.0232,14.43,1423843,224086
6019,2,1374502,727.37666,0.0423,1453.71707,1452.73987,1452.73987,0.0158,13.93,1374502,282760
6019,2,1359907,600.84788,0.0211,1200.41155,1199.6823,1199.6823,0.0111,13.78,1359907,247525
6019,3,1337727,762.03123,0.0705,2284.55533,2283.07106,2284.07397,0.0159,13.55,990847,615985
6019,2,1322242,691.34931,0.0419,1381.61074,1380.68516,1380.68516,0.0137,13.4,1322242,0
6019,1,1308762,447.2579,0.0199,446.52437,446.25119,446.25119,0.007,13.26,1308762,0
6019,2,1295218,543.79772,0.0067,1086.24037,1085.58197,1085.58197,0.0096,13.12,1295218,312726
6019,3,1253225,772.38036,0.0296,2315.61727,2314.11698,2315.11989,0.0155,12.7,907663,810402
6019,4,1251366,704.60807,0.1922,2816.20302,2814.40127,2815.40418,0.0149,12.68,317756,586445
6019,2,1230448,707.39786,0.0309,1413.73329,1412.78226,1412.78226,0.015,12.47,1230448,326951
6019,2,1216779,776.95308,0.0477,1552.92802,1551.89292,1551.89292,0.017,12.33,1197335,352985
6019,2,1214688,928.96747,0.0578,1857.14869,1855.92324,1856.92613,0.0212,12.31,912342,457154
6019,3,1188200,770.32756,0.0813,2309.46173,2307.9625,2308.96541,0.0156,12.04,1188200,568934
6019,2,1184926,503.30533,0.0192,1005.2119,1004.5972,1004.5972,0.0087,12.01,1184926,0
6019,3,1183604,554.95056,0.0776,1662.93311,1661.83149,1661.83149,0.0102,11.99,1183604,339771
6019,2,1174922,622.83796,0.0275,1244.41899,1243.66247,1243.66247,0.012,11.91,1174922,0
6019,1,1162157,979.50544,0.0234,979.10019,978.49871,978.49871,0.0236,11.78,1162157,0
