scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,summed_abundance
6557,1,1194126,1174.60615,0.056,1174.31391,1173.59942,1173.59942,0.0308,9.31,1194126,0,1691503
6557,2,1194091,724.35415,0.0439,1447.66184,1446.69484,1446.69484,0.0147,9.31,1194091,496412,2398289
6557,2,1191024,860.42135,0.0719,1719.96164,1718.82925,1718.82925,0.0197,9.28,1191024,536040,2837316
6557,4,1190288,571.55536,0.0781,2283.66934,2282.19452,2283.19742,0.0101,9.28,1190288,868235,3618531
6557,2,1182377,885.36725,0.0756,1769.89245,1768.72105,1768.72105,0.0194,9.22,1182377,0,2085342
6557,3,1154610,948.14938,0.1368,2843.25766,2841.43896,2842.44186,0.0217,27.84,461054,461616,6102181
6557,2,1077139,431.2264,0.0283,860.96162,860.43934,860.43934,0.0066,8.4,1077139,0,1526408
6557,3,1045081,559.27054,0.0105,1675.89504,1674.79146,1674.79146,0.0099,8.15,1045081,483196,2456523
6557,2,1017579,817.92491,0.0605,1634.92071,1633.83247,1633.83247,0.0179,7.93,862906,401354,2980428
6557,3,1011397,734.73034,0.0328,2202.60202,2201.17074,2202.17364,0.015,7.88,794019,545270,2350686
6557,5,973333,621.30949,0.0582,3103.49344,3101.51322,3102.51612,0.0117,7.83,589128,1005019,2567480
6557,2,971444,838.40301,0.0673,1675.89613,1674.79256,1674.79256,0.0215,7.57,971444,0,1832115
6557,4,970972,590.52861,0.1116,2359.61622,2358.08917,2359.09207,0.0113,7.57,528122,433086,2381943
6557,3,963515,840.38542,0.0216,2519.76257,2518.13709,2519.13999,0.0185,7.51,842528,686476,2966678
6564,3,24242492,806.77164,0.0094,2418.86145,2417.29387,2418.29676,0.0175,186.6,19453736,1.817105E+07,73335718
6564,4,11950605,728.88891,0.0088,2913.39769,2911.52767,2912.53057,0.0148,91.99,6479465,1.017871E+07,38825553
6564,2,11213470,475.26872,0.0071,949.10235,948.52399,948.52399,0.0077,86.31,11213470,1453459,19376596
6564,2,7006027,833.40601,0.0088,1665.90064,1664.79857,1664.79857,0.0181,53.93,7006027,4041093,18589124
6564,2,5518031,854.4751,0.0286,1708.06732,1706.93674,1706.93674,0.0192,42.47,5518031,2056810,13364522
6564,1,5130345,443.32059,0.0087,442.58643,442.31386,442.31386,0.007,39.49,5130345,0,6014886
6564,2,4332426,473.2732,0.0351,945.11071,944.53295,944.53295,0.0079,33.35,4332426,0,6058661
6564,1,4323827,1292.58167,0.0037,1292.35883,1291.57494,1291.57494,0.0346,33.28,4323827,1202497,8509456
6564,3,4114524,512.26851,0.1411,1534.80625,1533.78535,1533.78535,0.0087,31.67,4114524,541788,6560597
