frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time,flag
800,219,3,1001,344.5235,0.0841,1031.18181,1030.5503,1030.5503,0.0406,41.71,1001,0,357,731,21.788,
800,221,3,967,344.50747,0.1235,1031.13373,1030.50222,1030.50222,0.0474,241.75,967,0,429,489,21.987,
800,222,3,804,344.50571,0.0333,1031.12845,1030.49695,1030.49695,0.0421,17.48,804,0,159,212,22.086,
800,224,3,3894,307.87084,0.0255,921.1536,920.59234,920.59234,0.0476,194.7,3894,0,2019,2736,22.285,
800,225,3,10006,307.86924,0.014,921.14881,920.58755,920.58755,0.052,1667.67,10006,2017,5305,9033,22.385,
800,226,3,10562,307.8682,0.0176,921.14569,920.58443,920.58443,0.0457,502.95,10562,1319,3704,7045,22.484,
800,227,3,7391,307.86664,0.0134,921.14101,920.57974,920.57974,0.045,821.22,7391,1065,2698,4700,22.584,
800,227,3,2383,326.87617,0.0063,977.91182,977.31979,977.60831,0.0486,132.39,2383,0,870,870,22.584,
800,227,3,1881,327.21062,0.1211,979.21316,978.61168,978.61168,0.0444,940.5,1881,0,1066,1261,22.584,1
800,228,3,4067,307.86805,0.0158,921.14522,920.58396,920.58396,0.0522,2033.5,4067,795,2392,3465,22.683,
800,228,3,3525,326.87591,0.0094,977.91105,977.31901,977.60754,0.0438,207.35,3525,0,1115,1115,22.683,
800,229,3,1659,326.88496,0.0129,977.93819,977.34616,977.63468,0.0491,150.82,1659,0,637,637,22.783,
800,229,3,1465,327.21504,0.0823,979.22642,978.62494,978.62494,0.0493,133.18,1465,0,676,849,22.783,1
800,229,3,1184,307.87586,0.11,921.16867,920.60741,920.60741,0.0634,17.67,1184,617,479,1278,22.783,
800,229,4,1077,312.17654,0.2247,1245.43593,1244.67927,1244.67927,0.0484,44.88,1077,943,348,474,22.783,
800,230,2,784,312.18619,0.0368,622.74173,622.35892,622.35892,0.0413,43.56,784,0,18,36,22.882,
800,230,3,680,326.8867,0.0417,977.94342,977.35139,977.63991,0.0734,85,680,0,77,77,22.882,
800,231,3,1370,278.83792,0.04,834.00096,833.49359,833.49359,0.0423,85.63,1370,0,947,1203,22.982,
800,232,3,7758,326.87891,0.0046,977.92004,977.328,977.61653,0.0512,775.8,7758,0,3488,3488,23.081,
800,232,3,3895,327.20894,0.1502,979.20813,978.60665,978.60665,0.0507,134.31,3895,0,1300,1692,23.081,1
800,232,3,1538,278.83814,0.026,834.0016,833.49423,833.49423,0.05,22.96,1538,338,858,1450,23.081,
800,233,3,34309,326.87455,0.0087,977.90698,977.31494,977.60347,0.0539,1633.76,34309,0,13977,13977,23.181,
800,233,3,16423,327.20978,0.0759,979.21064,978.60916,978.60916,0.0507,912.39,16423,0,6699,8670,23.181,1
800,233,3,1375,321.20329,0.0999,961.17917,960.5897,960.5897,0.0492,23.71,1375,656,229,782,23.181,
800,233,3,1002,279.17645,0.0405,835.01667,834.50916,834.50916,0.0625,125.25,1002,0,747,958,23.181,1
800,233,2,875,309.2152,0.068,616.78956,616.41695,616.41695,0.0434,43.75,875,0,48,48,23.181,1
800,234,3,94207,326.87763,0.0067,977.91623,977.32419,977.61272,0.058,13458.14,94207,0,38743,38743,23.28,
800,234,3,44866,327.21147,0.0735,979.21572,978.61424,978.61424,0.0563,7477.67,44866,3195,20784,27712,23.28,1
800,234,2,1858,308.71079,0.0167,615.78058,615.40813,615.40813,0.0447,619.33,1858,0,40,124,23.28,
800,234,3,1376,442.54929,0.1855,1325.43719,1324.62768,1324.62768,0.077,275.2,1376,0,1033,1538,23.28,1
800,235,3,137678,326.8778,0.0098,977.91672,977.32468,977.61321,0.0634,3358,137678,0,55586,55586,23.38,
800,235,3,78865,327.21185,0.0594,979.21684,978.61535,978.61535,0.0587,8762.78,78865,4951,32260,45289,23.38,1
800,235,3,1501,442.19593,0.1484,1324.37698,1323.56762,1323.56762,0.0633,125.08,1501,0,712,978,23.38,
800,235,2,2670,308.70651,0.0693,615.76721,615.3946,615.3946,0.0457,1335,2670,0,26,96,23.38,
800,235,3,992,328.21482,0.0565,982.22621,981.62427,981.62427,0.0478,58.35,992,0,242,242,23.38,1
800,236,3,140915,326.87909,0.0101,977.9206,977.32857,977.61709,0.0659,20130.71,140915,0,54952,54952,23.479,
800,236,3,85026,327.21265,0.0738,979.21926,978.61778,978.61778,0.0577,14171,85026,5974,33608,44585,23.479,1
800,236,2,1556,308.70275,0.0466,615.7645,615.39205,615.39205,0.0499,259.33,1556,0,170,357,23.479,
800,236,3,1382,442.21306,0.0085,1324.42835,1323.619,1323.619,0.051,276.4,1382,0,520,845,23.479,
800,236,3,1187,320.87264,0.0486,960.18722,959.59775,959.59775,0.053,59.35,1187,565,743,1523,23.479,
800,237,3,115443,326.87899,0.0076,977.9203,977.32827,977.61679,0.0629,12827,115443,0,48587,48587,23.579,
800,237,3,67851,327.21226,0.0778,979.21809,978.6166,978.6166,0.0578,7539,67851,3822,29830,38962,23.579,1
800,237,2,1333,308.70076,0.0644,615.76052,615.38807,615.38807,0.0416,121.18,1333,0,13,209,23.579,
800,237,3,1038,442.20657,0.0575,1324.40888,1323.59953,1323.59953,0.0686,20.35,1038,0,352,465,23.579,
800,237,3,941,328.22642,0.1627,982.26102,981.65909,981.65909,0.0405,470.5,941,0,325,717,23.579,1
800,238,3,70960,326.87698,0.005,977.91425,977.32222,977.61074,0.056,35480,70960,0,28620,28620,23.678,
800,238,3,39102,327.21074,0.0766,979.21353,978.61205,978.61205,0.0572,4887.75,39102,2520,17406,23688,23.678,1
800,238,3,2588,328.51339,0.069,983.12208,982.51999,982.51999,0.0447,143.78,2588,0,1392,2032,23.678,
800,238,3,766,442.195,0.0612,1324.37418,1323.56483,1323.56483,0.0644,85.11,766,0,420,992,23.678,
800,239,3,31985,326.87741,0.0038,977.91556,977.32353,977.61206,0.0554,2665.42,31985,0,14033,14033,23.778,
800,239,3,16684,327.21123,0.0345,979.21498,978.6135,978.6135,0.0517,1191.71,16684,1083,7236,10884,23.778,1
800,239,3,1851,320.87608,0.0293,960.19752,959.60805,959.60805,0.0512,154.25,1851,0,793,1437,23.778,
800,239,3,1530,328.51448,0.152,983.12535,982.52326,982.52326,0.0711,69.55,1530,709,1089,2937,23.778,
