frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,drift_time,cumulative_drift_time
1200,247,9,503,370.468069046494,0.833590741328996,3326.64464736641,3325.14219613135,3327.14752156405,0,0,0,0,24.5737336,29488.48032
1200,249,1,3589,454.271578520731,0.685748939828398,453.40943734779,453.263753920731,453.263753920731,0.0640029952859891,613.4,3067,0,24.7727112,29727.25344
1200,250,3,3426,454.605761219905,0.614988304993292,1361.34738016736,1360.79380985972,1360.79380985972,0.0744563919025154,52.775,2111,0,24.8722,29846.64
1200,250,3,862,595.213808904425,0.845320739397181,1783.08806589501,1782.61795291328,1782.61795291328,0.12504757315287,14.375,460,0,24.8722,29846.64
1200,252,3,2376,454.264380287413,0.201547331254633,1360.19588799987,1359.76966706224,1359.76966706224,0.0787365494643382,152.333333333333,1371,0,25.0711776,30085.41312
1200,254,2,2010,395.25107632818,0.518145259050782,788.899980819149,788.486503456361,788.486503456361,0.0620333250784029,131,1179,0,25.2701552,30324.18624
1200,255,2,4610,395.253832319698,0.43118795720174,788.921462259883,788.492015439397,788.492015439397,0.0543529519241588,164.1875,2627,0,25.369644,30443.5728
1200,256,2,7101,395.254018123824,1.6186882851655,788.878754046303,788.492387047649,788.492387047649,0.0516444217600451,149.34375,4779,0,25.4691328,30562.95936
1200,256,1,3076,492.998031575954,0.618142848244712,492.136089925795,491.990206975954,491.990206975954,0.070413304170529,656.75,2627,0,25.4691328,30562.95936
1200,257,2,5028,395.256295088137,0.779965594061615,788.851712168351,788.496940976274,788.496940976274,0.0560836763997372,3235,3235,0,25.5686216,30682.34592
1200,257,3,4146,492.985895620936,0.930494581274854,1476.40212911727,1475.93421306281,1475.93421306281,0.0575043121735348,365.666666666667,2194,0,25.5686216,30682.34592
1200,258,3,5052,492.996479069627,0.412993331861169,1476.29362623294,1475.96596340888,1475.96596340888,0.0628234164001924,1125.33333333333,3376,0,25.6681104,30801.73248
1200,259,2,1802,463.804034711213,0.626040282171087,925.858100359165,925.592420222427,925.592420222427,0.0600283073362107,50.8076923076923,1321,0,25.7675992,30921.11904
1200,259,3,7547,492.989846142952,3.1264986681991,1476.77518643302,1475.94606462886,1475.94606462886,0.0641432226641427,17.0395480225989,3016,0,25.7675992,30921.11904
1200,259,3,672,510.614615589917,0.768060866963342,1529.35911937634,1528.83162585275,1529.83448385275,0.0431204633014772,19.6875,315,0,25.7675992,30921.11904
1200,260,1,4235,463.795392659721,0.76000161691652,462.949115888012,462.787568059721,462.787568059721,0.0623102745240089,1775.5,3551,0,25.867088,31040.5056
1200,260,3,1221,492.648873686918,0.493410347646308,1478.17455911935,1474.92314596506,1477.93015650406,0,0,0,0,25.867088,31040.5056
1200,261,2,12426,463.802712151238,0.554465676979948,926.220039552581,925.589775102476,925.589775102476,0.0698811917146713,456.533333333333,6848,0,25.9665768,31159.89216
