scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,summed_abundance
6910,1,849905,1440.59939,0.0404,1440.55861,1439.59266,1439.59266,0.0429,5.45,849905,0,1411030
6910,2,848216,716.87681,0.0314,1432.7049,1431.74016,1431.74016,0.0149,5.44,848216,0,1433583
6910,3,842675,749.87548,0.1637,2247.06206,2245.60335,2246.60626,0.0147,5.4,842675,0,1559228
6910,2,836693,1022.97822,0.051,2045.27655,2043.9412,2044.9441,0.0249,5.36,554205,483885,1874783
6910,3,828676,559.98984,0.1352,1678.06404,1676.94933,1676.94933,0.0098,5.31,828676,0,1336301
6910,3,824655,936.81268,0.1102,2809.21363,2807.41294,2808.41585,0.0218,5.29,513293,507893,1845841
6910,3,815924,1004.15586,0.1623,3010.36994,3008.44451,3009.44741,0.0235,5.23,815924,757131,2228718
6910,2,809581,764.93695,0.1132,1528.88044,1527.86044,1527.86044,0.0163,5.19,809581,0,1307690
6910,4,786282,512.02994,0.2441,2045.42804,2044.09283,2045.09575,0.0089,5.04,786282,0,1263451
6910,2,782249,733.36548,0.1265,1465.69515,1464.71598,1464.71598,0.0155,5.01,615952,0,1398201
6917,2,24887696,1123.53998,0.0084,2246.52467,2245.06612,2246.06903,0.0281,154.06,19286022,1.599484E+07,72184310
6917,2,10459411,722.39086,0.0519,1443.73466,1442.76826,1442.76826,0.0146,64.75,10459411,2152019,19848197
6917,2,9462022,668.83791,0.0147,1336.56102,1335.66237,1335.66237,0.013,58.57,9462022,2341098,18259284
6917,1,7881339,847.4736,0.0096,846.9855,846.46687,846.46687,0.0189,48.79,7881339,817814,12007542
6917,3,6405247,580.28898,0.0227,1738.9913,1737.84675,1737.84675,0.0105,39.65,6405247,3013153,15575290
6917,5,6305016,788.19094,0.0086,3938.4026,3935.9147,3937.92028,0.0167,39.03,2087715,6305016,24925511
6917,1,5323306,459.31534,0.0044,458.58513,458.30861,458.30861,0.0073,32.95,5323306,0,6432370
6917,3,5239610,749.36208,0.0111,2246.52383,2245.06527,2246.06818,0.0162,32.43,4145888,3353910,14292316
6917,6,4302952,656.99292,0.0162,3938.40376,3935.91587,3937.92145,0.0126,26.64,1818294,4302952,17399431
6917,1,4075410,637.35259,0.0091,636.73078,636.34586,636.34586,0.0123,25.23,4075410,0,5167625
6917,1,3988544,785.43733,0.0214,784.90994,784.4306,784.4306,0.0163,24.69,3988544,0,5216707
6917,1,3879944,742.43165,0.0142,741.87779,741.42493,741.42493,0.0153,24.02,3879944,0,5153162
6917,3,3773081,782.77132,0.0262,2346.8081,2345.29215,2346.29505,0.0169,23.36,2471108,2343845,10320810
6917,2,3428376,682.8427,0.0163,1364.59496,1363.67195,1363.67195,0.0133,21.22,3428376,1400540,8543959
6917,2,3161752,658.8628,0.0181,1316.52029,1315.71215,1315.71215,0.0124,19.57,3161752,555361,5854570
6917,2,2852507,558.30547,0.009,1115.28242,1114.59748,1114.59748,0.0098,17.66,2852507,0,4735722
6917,4,2766405,984.98527,0.0401,3938.40533,3935.91743,3937.92301,0.0234,17.12,823546,2766405,9604022
6917,4,2619853,714.87263,0.0567,2857.29215,2855.46205,2856.46495,0.0145,16.22,1325909,1689800,8137817
6917,3,2610605,834.11529,0.0164,2500.9365,2499.32522,2500.32812,0.0185,16.16,1836013,1809326,7213445
6917,2,2567768,720.80237,0.0647,1440.55723,1439.59128,1439.59128,0.0147,15.9,2567768,729974,4681268
6917,2,2515459,797.40567,0.0252,1593.85762,1592.79788,1592.79788,0.017,15.57,2515459,893861,5351059
6917,3,2505027,896.1192,0.0481,2687.06001,2685.3371,2686.33999,0.0201,15.51,1735081,1501078,6463796
6917,1,2407749,846.43575,0.0089,845.9475,845.42902,845.42902,0.0184,20.48,2407749,3308389,6733317
6917,2,2314868,599.77888,0.0859,1198.27324,1197.5443,1197.5443,0.0111,14.33,2314868,0,3139403
6917,2,2266134,869.93046,0.0664,1738.99202,1737.84747,1737.84747,0.0192,14.03,2266134,697200,4592077
6917,3,2229427,872.78833,0.1237,2617.02742,2615.34654,2616.34944,0.0193,13.8,1023845,903291,4747460
6917,1,2212255,769.44247,0.0168,768.90184,768.43575,768.43575,0.0159,13.69,2212255,0,2909425
6917,2,1996424,826.42772,0.0162,1651.93265,1650.84199,1650.84199,0.0176,12.36,1996424,827847,4414348
6917,1,1943650,616.29522,0.0126,615.66096,615.28851,615.28851,0.0111,12.03,1943650,0,2433623
6917,3,1810644,952.8274,0.0204,2857.29037,2855.46027,2856.46317,0.0218,11.21,1313313,1361950,5337979
6917,1,1802016,550.28401,0.0068,549.6083,549.27727,549.27727,0.01,11.15,1802016,0,2344403
6917,2,1716325,792.92087,0.0272,1584.87735,1583.82828,1583.82828,0.0167,10.62,1716325,0,3313612
6917,4,1673108,547.51111,0.0316,2187.43881,2186.01909,2187.022,0.0098,10.36,1400461,914763,3988332
6917,2,1620171,493.29185,0.0205,985.17264,984.57025,984.57025,0.0081,10.03,1620171,0,2470891
6917,1,1613289,1440.59804,0.1274,1440.55726,1439.59131,1439.59131,0.043,9.99,1613289,0,2306628
6917,1,1588941,748.39766,0.0149,747.84456,747.39094,747.39094,0.0135,9.84,1588941,0,2137215
6917,3,1485626,483.92906,0.0349,1449.73429,1448.76699,1448.76699,0.0076,9.2,1485626,0,2541864
6917,2,1440725,733.36476,0.0468,1465.69508,1464.71606,1464.71606,0.0149,8.92,1440725,0,2603338
6917,2,1425414,510.75971,0.1421,1020.12498,1019.50597,1019.50597,0.0088,8.82,1425414,0,2810482
6917,2,1393119,537.31834,0.0074,1073.27966,1072.62322,1072.62322,0.0093,8.62,1393119,0,2285078
6917,2,1364277,604.80902,0.0062,1208.34433,1207.60458,1207.60458,0.0112,8.45,1364277,0,2315482
6917,4,1348352,636.80396,0.0621,2544.82315,2543.1846,2544.1875,0.0118,8.35,810615,763023,2921990
6917,3,1344349,616.99532,0.0208,1849.18298,1847.96803,1848.97094,0.0119,8.32,1269665,761432,3375446
