scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,summed_abundance
6005,2,1361145.6875,717.87938,0.895,1434.1642,1433.74311,1433.74311,0.0146,5.17,789294,0,789294
6005,3,1749528.4375,719.69673,0.1435,2156.43027,2156.06671,2156.06671,0.0144,7.31,1115760,0,1115760
6005,2,4548044.1875,727.37691,1.259,1453.31608,1452.73817,1452.73817,0.0147,15.84,2418848,0,2418848
6005,1,6981920.5,729.44693,0.6771,728.66669,728.43911,728.43911,0.0145,35.36,5398613,0,5398613
6005,2,1967316.75,739.37611,0.7881,1477.1472,1476.73658,1476.73658,0.0148,7.62,1163276,0,1163276
6005,2,5251460.8125,746.87333,1.8623,1492.43409,1491.73102,1491.73102,0.0152,16.02,2445993,0,2445993
6005,3,6763135.125,750.66705,2.5996,2249.80808,2248.97845,2249.98131,0.0155,16.09,2455804,0,2455804
6005,1,4385151.125,754.37393,0.7941,753.6218,753.36611,753.36611,0.0148,21.4,3266908,0,3266908
6005,3,1737738.0625,762.02985,1.1086,2284.16018,2283.06868,2285.07384,0.0156,3.35,511466,0,511466
6005,2,1811511.5,767.8439,0.6339,1534.06176,1533.67216,1533.67216,0.0161,7.25,1106943,0,1106943
6005,3,2407162.1875,768.72606,1.8271,2304.21982,2303.15439,2304.15725,0.0148,3.74,570485,0,570485
6005,3,1659819.5,770.32733,2.2191,2308.9959,2307.95944,2308.9623,0.0153,3.28,500692,0,500692
6005,3,3242278.1875,771.36652,1.0363,2312.0467,2311.07607,2311.07607,0.0168,7.49,1143662,0,1143662
6005,3,3864725.125,772.37838,4.4275,2315.0633,2314.11229,2315.11515,0.015,8.27,1262732,0,1262732
6005,2,3469617.5625,776.95269,0.6148,1552.55543,1551.88973,1551.88973,0.0158,11.45,1747853,0,1747853
6005,2,1758517,780.90073,0.6009,1560.17357,1559.7858,1559.7858,0.0167,7.07,1078713,0,1078713
6005,2,6189205,791.42443,1.5878,1581.62404,1580.82869,1581.83155,0.0163,15.84,2417950,0,2417950
6005,2,2594769.75,791.88545,0.9747,1582.21312,1581.75524,1581.75524,0.0184,9.22,1407050,0,1407050
6005,2,8824121,807.37435,2.8183,1613.4595,1612.73306,1612.73306,0.0173,27.84,4250115,0,4250115
6005,2,1112278.90625,818.39195,0.6816,1635.33723,1634.7646,1635.76746,0.0162,3.14,478916,0,478916
6005,1,6546121.375,831.47847,0.8816,830.7624,830.47065,830.47065,0.0181,30.41,4643159,0,4643159
6005,2,7065721.25,868.94411,1.4355,1736.57664,1735.87258,1735.87258,0.0183,20.73,3164387,0,3164387
6005,1,9992133.625,885.48895,1.5642,884.91447,884.48113,884.48113,0.0198,41.32,6309255,0,6309255
6005,2,1817323.375,898.94507,0.6632,1796.31119,1795.87449,1795.87449,0.0194,6.72,1026516,0,1026516
6005,2,18417160.25,903.9433,3.3433,1806.69816,1805.87094,1805.87094,0.0205,48.03,7332420,0,7332420
6005,2,2692896.3125,933.94078,2.6211,1866.67386,1865.86592,1865.86592,0.021,7.3,1114873,0,1114873
6005,1,2675504.75,948.46738,0.9046,947.78411,947.45955,947.45955,0.0217,11.86,1810023,0,1810023
6005,2,1332117,954.47527,0.9494,1907.46109,1906.93191,1907.93477,0.0218,4.13,631075,0,631075
6005,1,1797288.5,961.54292,0.423,960.86511,960.53509,960.53509,0.0234,7.9,1205816,0,1205816
6005,2,4298522,967.94226,2.4071,1934.62113,1933.86888,1933.86888,0.0227,12.25,1870365,0,1870365
6005,3,8517131,976.81177,3.4213,2928.53309,2927.41231,2929.41758,0.0226,14.25,2175748,0,2175748
6005,2,2793049.875,1016.01149,1.9198,2030.73607,2030.00733,2030.00733,0.0233,8.55,1305871,0,1305871
6005,1,1922480.8125,1059.45898,0.8046,1058.78316,1058.45116,1058.45116,0.0253,8.42,1285942,0,1285942
6005,2,1167328.375,1125.4994,0.9572,2249.52792,2248.98244,2249.9853,0.0302,3.49,532765,0,532765
6005,2,15728167,1154.98799,3.7475,2308.90078,2307.96019,2308.96304,0.0287,32.32,4934751,0,4934751
6005,1,2091579.6875,1197.64225,0.7241,1196.98122,1196.63443,1196.63443,0.0323,8.97,1369689,0,1369689
6012,2,13078851.6875,400.25379,0.8344,798.85664,798.49194,798.49194,0.0061,55.96,9125341,0,9125341
6012,1,7546503.125,401.27415,0.8698,400.4248,400.26633,400.26633,0.006,38.96,6354207,0,6354207
6012,1,6161206.1875,408.24755,0.7043,407.37313,407.23972,407.23972,0.0063,32.76,5341859,0,5341859
6012,4,7098286.125,434.97302,1.5325,1736.63616,1735.86034,1736.86319,0.0067,17.46,2847319,0,2847319
6012,5,6838109.875,463.82954,3.3913,2315.13196,2314.10953,2315.11239,0.0075,12.73,2075191,0,2075191
6012,1,6960107.5,471.22132,0.8025,470.38526,470.2135,470.2135,0.0076,35.37,5768414,0,5768414
6012,2,19921744.75,481.27415,1.4981,961.00255,960.53264,960.53264,0.008,73.53,11990950,0,11990950
6012,2,9262868.875,492.80527,0.5982,984.02522,983.59489,983.59489,0.0081,36.52,5954991,0,5954991
6012,2,2160954.8125,501.2818,0.8867,1000.88192,1000.54795,1000.54795,0.0083,8.84,1441957,0,1441957
6012,2,1633438.875,502.27331,0.8919,1002.86269,1002.53098,1002.53098,0.0083,6.67,1087746,0,1087746
6012,2,2343155.0625,503.30486,0.3978,1004.83163,1004.59406,1004.59406,0.0083,10.97,1788811,0,1788811
6012,2,1627688.9375,521.28701,0.3233,1041.05832,1040.55836,1040.55836,0.0098,4.99,813884,0,813884
6012,4,1034170.875,524.04304,0.7871,2092.63849,2092.14084,2092.14084,0.0083,3.18,519268,0,519268
6012,3,1040227.5,524.27487,0.0209,1570.28793,1569.80114,1569.80114,0.0092,3.28,535615,0,535615
6012,2,8488762.75,530.28469,0.9197,1058.94003,1058.55374,1058.55374,0.0093,32.01,5219783,0,5219783
6012,2,2290938.3125,543.79802,0.9056,1085.93649,1085.58039,1085.58039,0.0092,9.06,1478098,0,1478098
6012,4,1219350.6875,550.01746,0.6757,2196.5312,2196.03853,2196.03853,0.0092,3.81,621870,0,621870
6012,3,2883542.625,554.94999,1.0399,1662.73493,1661.82697,1662.82983,0.0098,5.22,850755,0,850755
6012,3,3100626.25,557.98651,0.4703,1671.55441,1670.93611,1671.93896,0.0102,7.29,1188882,0,1188882
6012,3,1022106.8125,571.9725,0.979,1713.3856,1712.89402,1712.89402,0.0096,3.2,521833,0,521833
6012,4,3658954.4375,576.79692,1.4078,2304.0683,2303.15594,2304.1588,0.0103,6.8,1108800,0,1108800
6012,4,10832699.5,579.53548,2.9204,2315.08532,2314.10821,2315.11106,0.0104,20.93,3412656,0,3412656
