frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,total_isotopic_abundance,orig_intensity,TIA_orig_intensity,drift_time,cumulative_drift_time
1200,265,2,676,472.27729,0.0626,943.11873,942.54112,942.54112,0.0637,6.69,676,0,1137,169,377,26.365,31663.8
1200,266,2,2810,463.7702,0.0984,926.08895,925.52694,925.52694,0.0604,401.43,2810,1387,5198,137,438,26.464,31783.29
1200,266,3,1947,670.99876,0.0763,2011.28159,2009.96981,2010.97268,0.0705,177,1383,1947,5815,474,1128,26.464,31783.29
1200,266,3,1912,577.33242,0.0357,1730.12026,1728.97707,1728.97707,0.0681,1912,1912,711,5094,875,2454,26.464,31783.29
1200,266,3,790,492.96748,0.0567,1476.87427,1475.88226,1475.88226,0.0659,21.94,790,0,1362,286,296,26.464,31783.29
1200,266,2,632,472.26737,0.0624,943.09889,942.52129,942.52129,0.0441,11.92,632,0,1049,111,164,26.464,31783.29
1200,266,1,562,479.23704,0.0856,478.51915,478.23031,478.23031,0.0489,13.38,562,0,562,389,389,26.464,31783.29
1200,266,1,553,478.27465,0.0828,477.55662,477.26793,477.26793,0.0489,13.38,553,0,1115,9,398,26.464,31783.29
1200,267,3,2629,670.99799,0.0524,2011.25154,2009.93991,2010.94278,0.0922,876.33,2296,2386,8949,324,1168,26.564,31902.78
1200,267,3,1889,577.34342,0.1172,1730.09448,1728.95114,1728.95114,0.0857,21.97,1445,1132,4804,87,1349,26.564,31902.78
1200,267,2,1608,463.78148,0.0515,926.11153,925.54951,925.54951,0.0529,100.5,1608,0,2103,63,106,26.564,31902.78
1200,267,2,569,472.26234,0.0422,943.08884,942.51123,942.51123,0.0611,142.25,569,0,934,339,455,26.564,31902.78
1200,268,3,2711,670.98933,0.1553,2011.25929,2009.94781,2010.95068,0.077,193.64,2711,1862,8381,359,2142,26.663,32022.26
1200,268,3,1908,577.31966,0.1505,1730.14395,1729.00061,1729.00061,0.0723,48.92,1608,1249,5112,513,1852,26.663,32022.26
1200,268,2,1456,488.7967,0.0619,976.17169,975.57995,975.57995,0.0741,728,1456,0,2085,211,434,26.663,32022.26
1200,268,2,1285,463.76354,0.0464,926.07563,925.51362,925.51362,0.0546,257,1285,0,1761,66,112,26.663,32022.26
1200,268,3,964,493.30483,0.1004,1477.88648,1476.89432,1476.89432,0.0412,482,964,0,1612,315,864,26.663,32022.26
1200,269,3,2957,577.33507,0.236,1730.12823,1728.98503,1728.98503,0.0683,328.56,2957,904,5388,297,1308,26.762,32141.75
1200,269,3,1466,671.3287,0.1271,2012.27755,2010.96592,2011.96879,0.1389,31.87,1466,0,1466,241,185,26.762,32141.75
1200,269,2,1238,488.81281,0.0818,976.20389,975.61216,975.61216,0.064,112.55,1238,493,2328,5,82,26.762,32141.75
1200,269,2,1074,463.78173,0.0431,926.11202,925.55001,925.55001,0.0545,358,1074,0,1739,40,80,26.762,32141.75
1200,269,2,895,454.79582,0.1291,908.12818,907.57818,907.57818,0.0451,31.96,895,0,1592,20,40,26.762,32141.75
1200,269,4,743,543.27863,0.1516,2170.58291,2169.16576,2170.16863,0.1545,18.07,795,441,1979,249,547,26.762,32141.75
1200,269,2,742,436.71131,0.048,871.94444,871.40917,871.40917,0.0587,742,742,0,1283,171,350,26.762,32141.75
1200,269,3,695,493.31301,0.2334,1477.91102,1476.91886,1476.91886,0.0629,17.38,695,0,1048,207,224,26.762,32141.75
1200,270,2,1501,454.77692,0.0581,908.09038,907.54038,907.54038,0.0495,46.91,1501,416,2351,311,429,26.862,32261.23
1200,270,2,1460,489.29816,0.2065,977.17475,976.58286,976.58286,0.0625,91.25,1460,0,1460,231,231,26.862,32261.23
1200,270,3,1345,671.69461,0.2329,2012.37256,2011.06078,2012.06365,0.1112,672.5,1345,0,1345,221,221,26.862,32261.23
1200,270,4,1070,543.29601,0.0436,2170.5421,2169.12494,2170.12781,0.0761,178.33,756,634,2460,306,851,26.862,32261.23
1200,270,2,697,510.29335,0.037,1019.19211,1018.57325,1018.57325,0.0641,24.03,697,0,1226,176,209,26.862,32261.23
1200,270,3,675,602.94429,0.1353,1806.96503,1805.77859,1806.78147,0.0726,225,526,0,1201,514,805,26.862,32261.23
1200,270,2,642,512.77992,0.0752,1024.17684,1023.5464,1023.5464,0.124,8.02,642,0,1194,389,785,26.862,32261.23
1200,271,2,1727,509.79347,0.0325,1018.19219,1017.57348,1017.57348,0.0771,31.98,1727,403,2881,683,950,26.961,32380.72
1200,271,2,1588,454.77937,0.0473,908.09529,907.54529,907.54529,0.0567,397,1588,0,2239,102,123,26.961,32380.72
1200,271,2,1491,512.7739,0.1304,1024.16479,1023.53435,1023.53435,0.0729,745.5,1491,0,1491,536,536,26.961,32380.72
1200,271,2,1408,512.27913,0.2446,1023.1658,1022.5448,1022.5448,0.0729,745.5,1408,0,2899,435,971,26.961,32380.72
1200,271,3,1272,671.33506,0.1765,2012.23353,2010.92175,2011.92462,0.0655,1272,1054,0,2326,362,493,26.961,32380.72
1200,271,3,1005,577.64673,0.1694,1731.06335,1729.92,1729.92,0.0697,201,1005,0,1451,314,481,26.961,32380.72
1200,271,4,708,543.30105,0.2043,2170.58585,2169.17814,2170.18105,0.0825,141.6,708,668,1901,255,686,26.961,32380.72
1200,271,2,603,527.19655,0.0578,1053.02377,1052.37965,1052.37965,0.0651,75.38,603,571,1674,472,934,26.961,32380.72
1200,271,3,583,492.96198,0.125,1476.85776,1475.86575,1475.86575,0.0651,17.67,583,354,1512,109,477,26.961,32380.72
1200,272,2,3070,509.78944,0.0272,1018.18413,1017.56542,1017.56542,0.068,383.75,3070,462,5747,675,1224,27.061,32500.21
1200,272,2,1733,512.27401,0.051,1023.15556,1022.53456,1022.53456,0.0585,288.83,1733,0,2393,728,1168,27.061,32500.21
1200,272,3,1401,671.3027,0.2454,2012.30571,2010.99393,2011.9968,0.063,200.14,834,0,2235,460,766,27.061,32500.21
1200,272,3,1203,577.31567,0.166,1730.07003,1728.92684,1728.92684,0.0721,200.5,1203,0,1848,212,254,27.061,32500.21
1200,272,2,815,463.77664,0.0465,926.10185,925.53983,925.53983,0.0605,47.94,815,0,1135,34,81,27.061,32500.21
1200,272,3,802,688.61884,0.2114,2063.18066,2061.83344,2062.83633,0.0694,7.71,802,429,1916,126,342,27.061,32500.21
1200,273,2,4261,510.29438,0.1173,1019.19417,1018.57531,1018.57531,0.0603,121.74,4261,729,5691,662,891,27.16,32619.69
1200,273,3,2924,670.98973,0.0403,2011.26049,2009.94901,2010.95188,0.0773,265.82,2924,2056,8944,71,1257,27.16,32619.69
1200,273,2,2419,512.28422,0.0514,1023.17599,1022.55499,1022.55499,0.0679,241.9,2419,522,3943,1654,2249,27.16,32619.69
1200,273,3,1038,688.95675,0.0703,2065.19745,2063.85008,2064.85297,0.071,129.75,1038,487,2465,59,210,27.16,32619.69
1200,273,1,1022,688.60965,0.1701,688.02546,687.60292,687.60292,0.0894,127.75,1022,0,1509,197,201,27.16,32619.69
1200,273,2,587,455.30347,0.2103,909.14364,908.59348,908.59348,0.0713,195.67,587,0,587,131,131,27.16,32619.69
1200,274,2,5123,509.79848,0.0179,1018.2022,1017.5835,1017.5835,0.0784,1280.75,5123,1321,9419,443,1397,27.26,32739.18
1200,274,3,4917,670.99246,0.0471,2011.26867,2009.95719,2010.96006,0.0842,327.8,4917,3418,17348,1166,3252,27.26,32739.18
1200,274,2,1812,512.28993,0.0365,1023.1874,1022.5664,1022.5664,0.0582,47.68,1812,509,3404,839,1505,27.26,32739.18
1200,274,3,1506,563.66525,0.0705,1689.09194,1687.97556,1687.97556,0.0638,94.13,1506,427,3130,493,1067,27.26,32739.18
1200,274,3,1463,688.95296,0.1292,2065.25583,2063.90816,2064.91105,0.075,63.61,1102,707,4053,57,688,27.26,32739.18
1200,274,3,1156,577.31557,0.1973,1730.06973,1728.92653,1728.92653,0.0661,19.27,1156,395,2625,290,610,27.26,32739.18
1200,274,3,586,599.62203,0.1773,1796.97783,1795.79291,1796.79578,0.0679,30.84,452,0,1038,237,240,27.26,32739.18
1200,275,3,11740,670.98881,0.0099,2011.28012,2009.9685,2010.97137,0.0847,317.3,10293,6893,33291,2609,6529,27.359,32858.66
1200,275,2,5217,509.78886,0.0105,1018.18298,1017.56427,1017.56427,0.0649,521.7,5217,1249,9208,1413,2051,27.359,32858.66
1200,275,3,2432,563.66277,0.0416,1689.08449,1687.96812,1687.96812,0.0816,608,2432,949,5808,760,2486,27.359,32858.66
1200,275,2,1903,512.29853,0.1053,1023.2046,1022.5836,1022.5836,0.0641,475.75,1903,729,3295,995,1741,27.359,32858.66
1200,275,3,1363,688.6442,0.0636,2064.19958,2062.85222,2063.85511,0.0735,21.98,1046,1251,4162,307,605,27.359,32858.66
1200,275,3,1155,481.92971,0.0824,1443.73536,1442.76896,1442.76896,0.054,22.21,1155,795,2654,315,667,27.359,32858.66
1200,275,3,1056,577.66868,0.1185,1731.12921,1729.98586,1729.98586,0.0547,32,1056,0,2048,430,1022,27.359,32858.66
1200,276,3,17380,670.99255,0.0166,2011.26599,2009.95436,2010.95723,0.0929,457.37,14598,10875,49439,2885,9956,27.459,32978.15
1200,276,2,4223,509.79376,0.0123,1018.19277,1017.57407,1017.57407,0.0681,383.91,4223,940,7709,773,1637,27.459,32978.15
1200,276,3,2696,563.66575,0.0547,1689.09343,1687.97706,1687.97706,0.0724,103.69,2696,1324,6965,1223,2686,27.459,32978.15
1200,276,3,1855,481.9261,0.0693,1443.72452,1442.75812,1442.75812,0.0563,463.75,1855,744,3578,255,787,27.459,32978.15
1200,276,3,1718,688.64315,0.1713,2064.16937,2062.822,2063.82489,0.0593,33.69,1112,995,4247,477,776,27.459,32978.15
1200,276,2,1394,512.28022,0.0369,1023.16799,1022.54699,1022.54699,0.0616,697,1394,376,2378,547,857,27.459,32978.15
1200,276,3,893,577.31834,0.132,1730.07802,1728.93482,1728.93482,0.054,31.89,893,503,2272,178,793,27.459,32978.15
1200,276,2,643,500.23426,0.0221,999.05956,998.45506,998.45506,0.0652,23.81,643,0,1136,377,654,27.459,32978.15
1200,277,3,20112,670.99343,0.0103,2011.27409,2009.96246,2010.96533,0.0908,1828.36,18420,12131,58396,3570,12582,27.558,33097.64
1200,277,2,4420,509.79653,0.0121,1018.19831,1017.5796,1017.5796,0.0627,2210,4420,731,7474,754,1218,27.558,33097.64
