scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
231,3,13572,630.6527,0.0234,1889.1745,1887.9349,1888.9378,0.0841,1131.00,11611,7890
231,3,13473,830.3716,0.0673,2488.6996,2487.0917,2488.0946,0.0971,1122.75,9432,7205
231,2,10325,582.3223,0.0110,1163.3419,1162.6311,1162.6311,0.0711,172.08,10325,3177
231,2,7768,571.8613,0.0098,1142.4074,1141.7091,1141.7091,0.0633,112.58,7768,1640
231,2,5039,625.3145,0.0401,1249.3821,1248.6156,1248.6156,0.0774,1259.75,5039,1636
231,3,4278,627.6507,0.1125,1881.1701,1879.9319,1880.9348,0.0600,267.38,4278,2593
231,3,2600,820.4019,0.0740,2458.7676,2457.1828,2458.1857,0.0701,200.00,2599,2234
231,3,2262,682.6864,0.0749,2045.3715,2044.0361,2045.0390,0.0897,150.80,1568,1288
231,4,1902,654.2848,0.1131,2613.7899,2612.1095,2613.1123,0.0815,79.25,1279,1812
231,3,1632,673.9939,0.2027,2020.2836,2018.9614,2019.9643,0.0706,74.18,1632,963
231,5,1612,703.5408,0.1744,3512.8940,3510.6646,3512.6702,0.0819,16.28,255,1612
231,2,1606,646.7956,0.0989,1292.3615,1291.5776,1291.5776,0.0628,26.33,1606,490
231,2,1471,586.3027,0.1154,1171.3060,1170.5919,1170.5919,0.0656,245.17,1471,408
231,3,1162,637.0006,0.2043,1908.2305,1906.9788,1907.9817,0.0669,40.07,634,710
231,3,1139,750.6563,0.0938,2249.4048,2247.9459,2248.9488,0.0575,21.90,723,680
231,2,1128,570.7610,0.1564,1140.2065,1139.5085,1139.5085,0.0528,102.55,1128,221
231,3,1085,644.2712,0.1176,1930.0585,1928.7905,1929.7934,0.0885,25.83,987,346
232,3,10438,830.0458,0.0716,2487.7220,2486.1142,2487.1171,0.0946,434.92,4378,8424
232,3,9156,630.6562,0.0186,1889.1852,1887.9456,1888.9485,0.0883,194.81,7656,5378
232,2,7756,625.3103,0.0272,1249.3738,1248.6072,1248.6072,0.0794,158.29,7756,2194
232,2,6625,582.3224,0.0271,1163.3421,1162.6313,1162.6313,0.0676,1325.00,6625,1662
232,3,4303,820.7488,0.1335,2458.8061,2457.2211,2458.2240,0.0810,126.56,3153,4303
232,3,4063,627.9750,0.0542,1881.1403,1879.9019,1880.9048,0.0763,123.12,3054,1911
232,3,3940,682.6809,0.0133,2045.3549,2044.0195,2045.0224,0.0747,74.34,3690,3237
232,2,3096,572.3668,0.0773,1143.4186,1142.7202,1142.7202,0.0791,516.00,3096,34
232,3,1791,674.3398,0.2102,2020.3185,2018.9962,2019.9991,0.0609,41.65,384,844
232,3,1495,842.3865,0.1959,2524.7626,2523.1363,2524.1392,0.0662,83.06,235,904
232,4,1425,654.2942,0.1551,2613.8273,2612.1469,2613.1497,0.0593,118.75,951,599
232,5,1377,703.3502,0.1226,3511.9408,3509.7116,3511.7171,0.0741,153.00,255,1377
232,3,1375,643.5989,0.2118,1928.0412,1926.7736,1927.7765,0.0656,11.27,338,666
232,3,1322,750.6662,0.0677,2249.4343,2247.9754,2248.9783,0.0829,1322.00,1248,997
233,3,10780,682.6832,0.0483,2045.3618,2044.0265,2045.0294,0.0872,2695.00,5926,7208
233,2,7970,625.3195,0.0189,1249.3922,1248.6256,1248.6256,0.0743,346.52,7970,2443
233,3,7345,820.7337,0.0525,2458.7605,2457.1756,2458.1784,0.0837,1469.00,3630,7345
233,3,7011,627.9834,0.0173,1881.1656,1879.9272,1880.9301,0.0793,701.10,5923,5307
233,3,6764,830.0414,0.1102,2488.7118,2487.1040,2488.1069,0.0832,76.00,6764,6048
233,3,4122,630.3095,0.1110,1889.1476,1887.9082,1888.9111,0.0815,374.73,4122,1671
233,2,2984,582.8207,0.0407,1164.3389,1163.6279,1163.6279,0.0590,157.05,2984,442
233,1,2375,582.3130,0.1036,581.6627,581.3062,581.3062,0.0748,25.27,2375,57
233,2,2024,572.3599,0.0782,1143.4047,1142.7063,1142.7063,0.0587,106.53,2024,41
233,2,1490,646.8050,0.0469,1292.3804,1291.5965,1291.5965,0.0649,19.10,1490,354
233,2,1284,611.3354,0.1230,1220.3960,1219.6543,1219.6543,0.0428,51.36,1284,336
233,5,1254,703.7302,0.2180,3513.8414,3511.6119,3513.6174,0.0517,48.23,524,1254
