scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
39,2,3321039,587.81278,0.0182,1174.0373,1173.32282,1173.61211,0.2676,9.51,3321039,0,,0.19354
39,2,3273674,729.83958,0.1383,1458.64367,1457.66571,1457.66571,0.1897,9.37,3273674,0,1,0.53703
39,2,2287698,914.16253,0.1584,1827.51093,1826.31233,1827.31543,0.3061,6.55,2287698,0,,0.29734
39,3,5727552,720.1118,0.0833,2155.80785,2154.40349,2155.40082,0.2921,5.9,2059711,0,,0.7355
39,3,1980206,571.16065,0.112,1710.72791,1709.59673,1709.81066,0.373,5.67,1980206,0,1,0.5241
39,3,1720073,628.59885,0.135,1883.30659,1882.06792,1882.77638,0.4738,4.92,1720073,0,1,0.52857
39,2,1494980,614.92763,0.2539,1228.59388,1227.84182,1227.84182,0.1477,4.28,1494980,0,,0.37659
39,2,1373799,744.36161,0.1364,1487.70403,1486.71036,1486.71036,0.2799,3.93,1373799,0,1,0.46185
39,1,1169082,627.1713,0.2797,626.54808,626.16483,626.16483,0.5989,3.35,1169082,0,,0
39,2,1849893,769.30948,0.2234,1538.56205,1537.5407,1537.5407,0.3744,3.3,1152724,0,,0
39,2,1053039,828.24134,0.0901,1655.55363,1654.45307,1654.45307,0.4207,3.01,1053039,0,,0
52,2,15098996,811.408,0.1212,1621.87938,1620.80255,1620.80255,0.3602,37.22,15098996,0,,0
52,2,6852483,687.80071,0.109,1374.51248,1373.58796,1373.58796,0.555,16.89,6852483,0,1,0.46926
52,1,6585269,541.39858,0.0897,540.72152,540.39186,540.39186,0.6623,16.23,6585269,0,1,0
52,1,6228703,522.57119,0.1112,521.88058,521.56461,521.56461,0.6301,15.36,6228703,0,,0
52,2,3208721,863.26082,0.1135,1725.12341,1723.98082,1724.50818,0.6105,7.91,3208721,0,1,0.4071
52,1,3169944,729.45712,0.2015,728.892,728.45039,728.45039,0.1205,7.81,3169944,0,,0.38286
52,2,2633728,548.84433,0.0384,1096.34644,1095.6752,1095.6752,0.1018,6.49,2633728,0,,0
52,1,7489531,608.80999,0.2608,608.9779,608.60819,608.60819,0.7036,5.3,2148672,0,,0
