frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time
500,196,3,787,367.53201,0.0686,0,1099.57588,0,0.0634,100,787,0,0,0,0
500,197,3,1109,367.20627,0.0558,0,1098.59863,0,0.078,100,1109,0,0,0,0
500,197,3,767,368.22574,0.1366,0,1101.65702,0,0.0542,100,767,0,0,0,0
500,198,3,1224,367.20407,0.0472,0,1098.59207,0,0.0743,100,1224,0,0,0,0
500,198,3,1022,368.22574,0.0645,0,1101.65702,0,0.0609,100,1022,0,0,0,0
500,199,3,1224,367.20407,0.0472,0,1098.59207,0,0.0743,100,1224,0,0,0,0
500,199,3,1022,368.22574,0.0645,0,1101.65702,0,0.0609,100,1022,0,0,0,0
500,200,2,2324,354.20532,0.0245,0,706.39716,0,0.0687,100,2324,0,0,0,0
500,200,3,1277,368.23282,0.0856,0,1101.67825,0,0.0636,100,1277,0,0,0,0
500,200,3,1224,367.20407,0.0696,0,1098.59207,0,0.0743,100,1224,0,0,0,0
500,200,3,1041,357.2088,0.1387,0,1068.60621,0,0.0594,100,1041,0,0,0,0
500,200,3,990,389.83383,0.1353,0,1166.48132,0,0.0625,90,990,0,0,0,0
500,201,2,3665,354.20654,0.0157,0,706.39963,0,0.0653,100,3665,0,0,0,0
500,201,3,1415,389.50806,0.1518,0,1165.504,0,0.0642,100,1415,0,0,0,0
500,201,3,1351,357.20862,0.1351,0,1068.60564,0,0.0597,100,1351,0,0,0,0
500,201,3,1277,368.23282,0.0856,0,1101.67825,0,0.0636,100,1277,0,0,0,0
500,201,3,1224,367.20407,0.0696,0,1098.59207,0,0.0743,100,1224,0,0,0,0
500,201,2,1067,329.71786,0.1953,0,657.4223,0,0.0851,100,1067,0,0,0,0
500,202,2,4659,354.20679,0.0138,0,706.40013,0,0.0639,100,4659,0,0,0,0
500,202,3,1666,389.50696,0.1222,0,1165.50074,0,0.065,100,1666,0,0,0,0
500,202,3,1606,357.20938,0.1519,0,1068.60799,0,0.0619,100,1606,0,0,0,0
500,202,3,1277,368.23282,0.0965,0,1101.67825,0,0.0636,100,1277,0,0,0,0
500,202,2,1067,329.71786,0.1951,0,657.4223,0,0.0851,100,1067,0,0,0,0
500,202,3,1042,367.53201,0.0722,0,1099.57587,0,0.0636,100,1042,0,0,0,0
500,202,3,1027,405.86313,0.0795,0,1214.5692,0,0.068,100,1027,0,0,0,0
500,202,1,993,367.19742,0.0477,0,366.19069,0,0.0636,100,993,0,0,0,0
500,203,2,5084,354.20627,0.0161,0,706.39906,0,0.0663,100,5084,0,0,0,0
500,203,3,1785,357.20831,0.1637,0,1068.60471,0,0.0598,100,1785,0,0,0,0
500,203,3,1684,389.50717,0.1136,0,1165.50133,0,0.0646,100,1684,0,0,0,0
500,203,2,1300,329.71423,0.2044,0,657.41502,0,0.0823,100,1300,0,0,0,0
500,203,3,1277,368.23282,0.0965,0,1101.67825,0,0.0636,100,1277,0,0,0,0
500,203,3,1242,405.86029,0.0753,0,1214.56072,0,0.0685,100,1242,0,0,0,0
500,203,1,990,366.21915,0.2462,0,365.21242,0,0.0625,100,990,0,0,0,0
500,203,3,787,367.53201,0.0593,0,1099.57587,0,0.0632,100,787,0,0,0,0
500,203,2,639,355.21408,0.2095,0,708.41472,0,0.065,100,639,0,0,0,0
500,204,2,5084,354.20627,0.0161,0,706.39906,0,0.0663,100,5084,0,0,0,0
500,204,3,1955,357.20685,0.1687,0,1068.60038,0,0.0586,100,1955,0,0,0,0
500,204,3,1939,389.50717,0.0499,0,1165.50133,0,0.0669,100,1939,0,0,0,0
500,204,2,1300,329.71423,0.2044,0,657.41502,0,0.0823,100,1300,0,0,0,0
500,204,3,1277,368.23282,0.0966,0,1101.67825,0,0.0636,100,1277,0,0,0,0
500,204,3,1242,405.86029,0.1581,0,1214.56072,0,0.0698,100,1242,0,0,0,0
500,204,2,652,355.6618,0.1581,0,709.31014,0,0.06,100,652,0,0,0,0
500,205,2,5084,354.20627,0.0161,0,706.39906,0,0.0663,100,5084,0,0,0,0
500,205,3,1955,356.86566,0.143,0,1067.59745,0,0.0586,100,1818,0,0,0,0
500,205,3,1939,389.50717,0.0499,0,1165.50133,0,0.0669,100,1939,0,0,0,0
500,205,2,1300,329.71423,0.2044,0,657.41502,0,0.0823,100,1300,0,0,0,0
500,205,3,1242,405.86029,0.1619,0,1214.56072,0,0.0692,100,1242,0,0,0,0
500,205,4,780,427.92673,0.3607,0,1707.68007,0,0.0769,100,780,0,0,0,0
500,206,2,5084,354.20627,0.0161,0,706.39906,0,0.0663,100,5084,0,0,0,0
500,206,4,2417,400.97351,0.1568,0,1599.86714,0,0.0787,100,2417,0,0,0,0
500,206,3,2020,356.86566,0.1372,0,1067.58657,0,0.0556,100,1818,0,0,0,0
500,206,3,1939,389.50717,0.0499,0,1165.50133,0,0.0669,100,1939,0,0,0,0
500,206,2,1300,329.71423,0.2044,0,657.41502,0,0.0823,100,1300,0,0,0,0
500,206,3,1242,405.86029,0.1619,0,1214.56072,0,0.0692,100,1242,0,0,0,0
