peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
1	9575	465.247	5148457	0.0074	58.11	3
2	9575	466.25031	978343.3	0.0077	11.04	3
3	9575	496.3014	332917	0.0082	3.76	122
4	9575	496.8025	192524.2	0.0092	2.17	122
5	9575	514.05004	1729328	0.0092	19.52	27
6	9575	514.30093	1371945	0.0087	15.48	27
7	9575	514.55121	648792.2	0.0089	7.32	27
8	9575	514.80191	477552.8	0.0092	5.39	27
9	9575	520.64797	271841.7	0.0126	3.07	135
10	9575	520.98125	333761	0.0091	3.77	135
11	9575	526.32311	373132.8	0.0096	4.21	108
12	9575	526.65672	393696.9	0.0081	4.44	108
13	9575	530.32987	497029.8	0.009	5.61	-1
14	9575	531.99755	369017.8	0.009	4.16	111
15	9575	532.33193	297114.1	0.0084	3.35	111
16	9575	533.49119	216258.6	0.0101	2.44	-1
17	9575	535.32291	260254.4	0.0115	2.94	139
18	9575	535.65602	205398.4	0.0079	2.32	139
19	9575	537.29622	211374.2	0.0093	2.39	-1
20	9575	537.80091	304522.3	0.0097	3.44	146
21	9575	538.05002	247394.4	0.0102	2.79	146
22	9575	538.30244	284621	0.0081	3.21	146
23	9575	540.99812	576798.3	0.0096	6.51	82
24	9575	541.33253	571987.9	0.01	6.46	82
25	9575	544.53207	186214	0.0096	2.1	-1
26	9575	547.00696	177269.7	0.0089	2	160
27	9575	547.34149	200350.5	0.0097	2.26	160
28	9575	552.78873	992872.9	0.0097	11.21	44
29	9575	553.29014	359145.9	0.0088	4.05	44
30	9575	553.79132	187362.7	0.0081	2.11	44
31	9575	555.96194	1072078	0.0095	12.1	39
32	9575	556.29651	864245.3	0.0098	9.75	39
33	9575	556.63081	548088.9	0.0096	6.19	39
34	9575	559.96544	297969.8	0.0112	3.36	-1
35	9575	568.95391	200292.4	0.0098	2.26	-1
36	9575	570.37093	823379.9	0.0107	9.29	53
37	9575	570.87242	367055	0.0103	4.14	53
38	9575	571.29497	296040.7	0.011	3.34	-1
39	9575	581.30095	186334.2	0.0088	2.1	-1
40	9575	582.48083	680697.6	0.0109	7.68	-1
41	9575	586.37828	1160524	0.0103	13.1	37
42	9575	587.38142	331132.3	0.0104	3.74	37
43	9575	588.29158	549697.6	0.0101	6.2	84
44	9575	588.37253	593719.3	0.0106	6.7	-1
45	9575	588.62566	781393.9	0.0107	8.82	84
46	9575	588.96023	428025.4	0.0103	4.83	84
47	9575	589.29312	247004.6	0.0107	2.79	84
48	9575	597.34531	1054384	0.0108	11.9	51
49	9575	597.59584	858721.2	0.0107	9.69	51
50	9575	597.8469	957256.1	0.0108	10.8	51
51	9575	598.09624	252054.7	0.0126	2.84	51
52	9575	600.50215	339685	0.0102	3.83	-1
53	9575	601.66334	339056.2	0.0105	3.83	120
54	9575	601.99757	574586.6	0.0102	6.48	120
55	9575	611.05874	197992.2	0.0108	2.23	-1
56	9575	617.30527	221539.6	0.0107	2.5	-1
57	9575	620.81254	185537	0.011	2.09	-1
58	9575	621.34581	325697.6	0.0117	3.68	125
59	9575	621.84716	198179.5	0.0121	2.24	125
60	9575	622.36197	197150.2	0.0138	2.23	-1
61	9575	622.82999	1060529	0.0119	11.97	45
62	9575	623.08047	983682.8	0.012	11.1	45
63	9575	623.33141	1080273	0.0113	12.19	45
64	9575	623.58189	429286.1	0.0109	4.85	45
65	9575	624.34809	721687.6	0.0116	8.15	75
66	9575	624.68208	618871.3	0.0119	6.98	75
67	9575	625.01614	283725.2	0.0115	3.2	75
68	9575	625.12056	184764.2	0.0104	2.09	141
69	9575	625.32455	257722.5	0.0116	2.91	141
70	9575	628.83851	193453.1	0.0133	2.18	-1
71	9575	631.26156	191607.5	0.0143	2.16	-1
72	9575	631.3421	200266.5	0.0105	2.26	-1
73	9575	633.34429	5878121	0.0122	66.34	1
74	9575	633.5948	7263935	0.012	81.98	1
75	9575	633.84526	5980606	0.0121	67.5	1
76	9575	634.09601	2648269	0.0125	29.89	1
77	9575	634.34668	1047140	0.0117	11.82	1
78	9575	634.59756	315392.5	0.0113	3.56	1
79	9575	637.0285	395130.3	0.0123	4.46	-1
80	9575	637.3301	311385.8	0.0128	3.51	-1
81	9575	637.35326	485167.3	0.0108	5.48	-1
82	9575	637.6883	335036.1	0.0107	3.78	-1
83	9575	641.37116	331853.1	0.0122	3.75	-1
84	9575	649.30401	350554.2	0.0142	3.96	-1
85	9575	650.1333	258301.5	0.0131	2.92	-1
86	9575	651.73912	191499.9	0.0127	2.16	-1
87	9575	652.34847	255478.9	0.013	2.88	-1
88	9575	653.35301	356991.4	0.0129	4.03	-1
89	9575	653.68773	215594	0.0127	2.43	-1
90	9575	653.80962	185693	0.0155	2.1	-1
91	9575	656.35375	201486.4	0.0103	2.27	-1
92	9575	657.31131	205792.5	0.0155	2.32	-1
93	9575	658.34065	197149.9	0.0175	2.23	-1
94	9575	659.67288	297045.2	0.0131	3.35	129
95	9575	660.00793	315923.1	0.0122	3.57	129
96	9575	660.33899	204733.7	0.0126	2.31	129
97	9575	660.65874	190171.5	0.0136	2.15	-1
