scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
6005,2,13084442,481.2741,0.0047,0,960.53365,0,0.0079,100,13084442,1746591,,0.03134
6005,2,9063344,639.82208,0.0084,0,1277.62961,0,0.0119,95.17,9063344,1940064,,0.11815
6005,3,7917913,579.62978,0.0147,0,1735.8675,0,0.0104,100,7917913,4740389,,0.39739
6005,2,7332420,903.94329,0.0071,0,1805.87204,0,0.0205,100,7332420,4112652,,0.01563
6005,2,6827444,1154.988,0.0176,0,2307.96144,0,0.0291,100,4934751,3965973,,0
6005,1,6309255,885.48896,0.003,0,884.48168,0,0.0199,100,6309255,633611,,0
6005,2,6298549,400.25358,0.0066,0,798.4926,0,0.0061,100,6298549,472906,,0
6005,2,6138895,530.28455,0.0471,0,1058.55455,0,0.0093,100,6138895,421699,,0
6005,1,5780098,471.22117,0.0026,0,470.21389,0,0.0077,100,5780098,0,,0.06399
6005,1,5398614,729.44693,0.0123,0,728.43965,0,0.0146,100,5398614,0,,0.19787
6005,1,5206400,401.27397,0.0147,0,400.2667,0,0.0059,100,5206400,0,,0.63065
6005,2,4750354,637.82096,0.0198,0,1273.62737,0,0.0124,100,4750354,957441,,0.03841
6005,2,4719197,660.34404,0.0249,0,1318.67352,0,0.013,100,4719197,972176,,0
6005,1,4643159,831.47847,0.0075,0,830.47119,0,0.0181,100,4643159,327479,,0.18333
6005,4,4416187,579.53504,0.0757,0,2314.11104,0,0.0105,100,3962315,3471578,,0.57265
6005,2,4250116,807.37433,0.0358,0,1612.73411,0,0.0173,100,4250116,1825838,,0
6005,2,4222744,492.80498,0.0061,0,983.59541,0,0.0082,100,4222744,498929,,0.0941
6005,1,3458279,408.24734,0.004,0,407.24006,0,0.0062,100,3458279,0,,0
6005,1,3266908,754.37395,0.0057,0,753.36667,0,0.0149,100,3266908,339520,,0.15523
6005,2,3164387,868.94412,0.0371,0,1735.87369,0,0.0183,36.14,3164387,1055170,,0
6005,3,3184488,976.81177,0.0477,0,2927.41348,0,0.0228,100,2175748,3184488,,0.07832
6005,3,3017622,750.66704,0.0447,0,2248.9793,0,0.0155,100,2455804,1289709,,0.04172
6005,2,2930165,644.29095,0.0072,0,1286.56735,0,0.0123,100,2930165,601321,,0
6005,2,2844240,597.86064,0.0274,0,1193.70673,0,0.0107,100,2844240,382456,,0.3264
6005,4,2596038,434.97284,0.0372,0,1735.86227,0,0.0068,100,2596038,835160,,0.08313
6005,2,2445994,746.87333,0.0301,0,1491.73211,0,0.0152,100,2445994,873734,,0.14838
6005,2,2418848,727.37691,0.0331,0,1452.73927,0,0.0147,28.35,2418848,492304,,0
6005,2,2641445,791.42442,0.0389,0,1580.83428,0,0.0173,1161.46,2417950,1129810,,0.40304
6005,2,2276630,628.86118,0.0509,0,1255.7078,0,0.0121,100,2276630,369927,,0
6005,5,2495107,463.82943,0.053,0,2314.11075,0,0.0073,100,2495107,2231305,,0.29122
6005,2,1927815,707.39764,0.0691,0,1412.78072,0,0.0147,37.98,1927815,456483,,0.38676
6005,1,1909251,432.22212,0.0039,0,431.21484,0,0.0067,100,1909251,0,,0.12957
6005,2,1881951,464.28214,0.0595,0,926.54972,0,0.0075,100,1881951,0,,0.79314
6005,1,1810024,948.46736,0.0147,0,947.46008,0,0.0217,100,1810024,0,,0
6005,2,1747854,776.95267,0.0389,0,1551.89079,0,0.0158,100,1747854,582024,,0.34075
6005,1,1719886,770.46253,0.045,0,769.45525,0,0.0162,100,1719886,0,,0.6415
6005,3,1796088,599.63216,0.048,0,1795.87466,0,0.0113,100,1671333,780207,,0.48402
6005,2,1870366,967.94224,0.0406,0,1933.86993,0,0.0226,100,1870366,797966,,0
6005,3,1535177,772.37836,0.2208,0,2314.11324,0,0.0155,100,1262732,1066817,1,0.44879
6005,3,1987297,619.64642,0.0683,0,1855.91743,0,0.0116,100,1987297,716535,,0.06829
